가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크
고기꾼김춘배 홍대본점,0.354,0.191,0.051,0.084,0.117,0.072,0.053,0.077,0,https://m.place.naver.com/restaurant/36873920/review/visitor
육성숙,0.305,0.283,0.075,0.212,0,0,0,0.124,0,https://m.place.naver.com/restaurant/1832644987/review/visitor
백년 도담돌솥밥,0.472,0.151,0,0.051,0.138,0.09,0.098,0,0,https://m.place.naver.com/restaurant/36091096/review/visitor
시장냉면 홍대점,0.275,0.155,0.054,0.101,0.054,0.137,0.069,0.03,0.127,https://m.place.naver.com/restaurant/1099670238/review/visitor
청돈옥,0.341,0.25,0.088,0.171,0.083,0,0,0.066,0,https://m.place.naver.com/restaurant/1272336785/review/visitor
김씨육면,0.27,0.165,0.141,0.108,0.077,0.04,0.042,0.041,0.116,https://m.place.naver.com/restaurant/1048885383/review/visitor
이양권반상,0.24,0.12,0.098,0.062,0.057,0.107,0.147,0.021,0.148,https://m.place.naver.com/restaurant/1752228333/review/visitor
맛깔1987,0.268,0.152,0.111,0.053,0.197,0.061,0.056,0.102,0,https://m.place.naver.com/restaurant/1837920980/review/visitor
뭉텅 홍대점,0.307,0.251,0.056,0.156,0,0.078,0.101,0.05,0,https://m.place.naver.com/restaurant/1000991258/review/visitor
냉장고 합정점,0.327,0.179,0.127,0.111,0.144,0.024,0.043,0.043,0,https://m.place.naver.com/restaurant/1498186485/review/visitor
하연옥 마포점,0.337,0.085,0.096,0.12,0.062,0.022,0.147,0.037,0.093,https://m.place.naver.com/restaurant/1583697789/review/visitor
와우끝집,0.394,0.084,0.153,0.03,0.217,0.034,0.089,0,0,https://m.place.naver.com/restaurant/34079350/review/visitor
금성회관 합정본점,0.275,0.202,0.038,0.159,0.139,0.051,0,0.137,0,https://m.place.naver.com/restaurant/1348526323/review/visitor
곰솥,0.246,0.108,0.042,0.153,0.083,0.044,0.042,0.138,0.144,https://m.place.naver.com/restaurant/1208511844/review/visitor
정화,0.345,0.246,0.139,0.04,0.124,0.059,0.048,0,0,https://m.place.naver.com/restaurant/31919239/review/visitor
바다회사랑2호점,0.406,0.079,0.113,0.029,0.239,0.049,0.085,0,0,https://m.place.naver.com/restaurant/35523842/review/visitor
배떼기곱창 홍대점,0.363,0.183,0.107,0.049,0.055,0.105,0.138,0,0,https://m.place.naver.com/restaurant/37322790/review/visitor
섬,0.359,0.19,0,0.039,0.13,0.065,0.06,0.099,0.057,https://m.place.naver.com/restaurant/1163396664/review/visitor
꽃살집 연남점,0.315,0.179,0.064,0.111,0.134,0.105,0,0.091,0,https://m.place.naver.com/restaurant/1772187177/review/visitor
돈수백 홍대직영점,0.436,0.102,0.026,0.038,0.055,0.118,0.083,0,0.142,https://m.place.naver.com/restaurant/11845737/review/visitor
이차돌 홍대점,0.384,0.193,0.064,0.04,0.042,0.195,0.082,0,0,https://m.place.naver.com/restaurant/488055128/review/visitor
대포막창,0.422,0.204,0.096,0.024,0.105,0.09,0.045,0.015,0,https://m.place.naver.com/restaurant/1019592431/review/visitor
남도뽀글이 홍대점,0.265,0.197,0.04,0.129,0.164,0.126,0.08,0,0,https://m.place.naver.com/restaurant/1536716181/review/visitor
돼지명가,0.329,0.223,0.097,0.148,0.131,0,0,0.071,0,https://m.place.naver.com/restaurant/1441592124/review/visitor
이대조뼈다귀,0.506,0.098,0,0.035,0.06,0.091,0.123,0,0.087,https://m.place.naver.com/restaurant/13027489/review/visitor
21세기우리바다수산,0.384,0.155,0.045,0.033,0.212,0.105,0.066,0,0,https://m.place.naver.com/restaurant/1217027261/review/visitor
도마 홍대본점,0.431,0.172,0.099,0.051,0.153,0.058,0.036,0,0,https://m.place.naver.com/restaurant/13291366/review/visitor
김덕후의곱창조 홍대본점,0.352,0.223,0.045,0.035,0.052,0.194,0.084,0.016,0,https://m.place.naver.com/restaurant/32779391/review/visitor
좋아해닭발,0.31,0.215,0.064,0.082,0.045,0.086,0.143,0.055,0,https://m.place.naver.com/restaurant/1146797936/review/visitor
탐탐오향족발,0.432,0.222,0.063,0.042,0.096,0.036,0.108,0,0,https://m.place.naver.com/restaurant/32745694/review/visitor
미쁘동,0.312,0.182,0.179,0.075,0.139,0,0.029,0.049,0.036,https://m.place.naver.com/restaurant/1685805793/review/visitor
하카타나카,0.32,0.112,0.149,0.066,0.081,0.03,0.1,0.024,0.118,https://m.place.naver.com/restaurant/13160647/review/visitor
정소바,0.246,0.122,0.111,0.091,0.15,0.036,0.058,0.098,0.088,https://m.place.naver.com/restaurant/1964274729/review/visitor
동동포차DDPC,0.385,0.294,0.117,0.095,0,0,0,0.108,0,https://m.place.naver.com/restaurant/1372736952/review/visitor
히메시야,0.375,0.141,0.064,0.042,0.102,0.06,0.058,0.009,0.149,https://m.place.naver.com/restaurant/33626741/review/visitor
가메스시,0.325,0.112,0.036,0.072,0.166,0.101,0.061,0.018,0.108,https://m.place.naver.com/restaurant/1092502636/review/visitor
쿄다이텐동,0.27,0.126,0.043,0.1,0.104,0.061,0.13,0.03,0.135,https://m.place.naver.com/restaurant/1992606492/review/visitor
오비야,0.354,0.085,0.177,0.048,0.102,0.044,0.102,0.031,0.058,https://m.place.naver.com/restaurant/13478975/review/visitor
오모테나시 오마카세,0.264,0.209,0.121,0.049,0.159,0.093,0.066,0.038,0,https://m.place.naver.com/restaurant/36391644/review/visitor
올랑올랑,0.354,0.126,0.138,0.063,0.104,0.045,0.055,0.041,0.074,https://m.place.naver.com/restaurant/1179975511/review/visitor
이자카야무세이,0.456,0.234,0.105,0.054,0,0.088,0,0.063,0,https://m.place.naver.com/restaurant/18361327/review/visitor
카시와,0.23,0.158,0.165,0.118,0.162,0.053,0.022,0.092,0,https://m.place.naver.com/restaurant/1611991924/review/visitor
참치가,0.306,0.188,0.061,0.096,0.15,0.115,0.086,0,0,https://m.place.naver.com/restaurant/293515740/review/visitor
오레타치카레,0.207,0.173,0.06,0.138,0.062,0.06,0.027,0.076,0.197,https://m.place.naver.com/restaurant/1518059511/review/visitor
카타코토카페,0.278,0.156,0.131,0.029,0.051,0.015,0.086,0.112,0.141,https://m.place.naver.com/restaurant/37637666/review/visitor
히메지,0.299,0.141,0.056,0.062,0.067,0.109,0.038,0.062,0.165,https://m.place.naver.com/restaurant/344591978/review/visitor
준가츠,0.245,0.146,0.115,0.042,0.151,0.071,0.121,0.006,0.103,https://m.place.naver.com/restaurant/1295621294/review/visitor
토라슌,0.279,0.146,0.157,0.076,0.166,0.048,0,0.081,0.046,https://m.place.naver.com/restaurant/1399387781/review/visitor
요츠야,0.28,0.235,0.111,0.156,0.058,0.058,0,0.103,0,https://m.place.naver.com/restaurant/1775551095/review/visitor
사카바 토리야,0.355,0.208,0.099,0.131,0,0.092,0,0.115,0,https://m.place.naver.com/restaurant/1268344541/review/visitor
토모토카레 홍대점,0.367,0.138,0.062,0.087,0.077,0.062,0.047,0.033,0.128,https://m.place.naver.com/restaurant/1664411845/review/visitor
비스트로큐슈,0.427,0.13,0.153,0.043,0.055,0.063,0.052,0.036,0.04,https://m.place.naver.com/restaurant/37203179/review/visitor
슈슈,0.255,0.153,0.067,0.053,0.067,0.09,0.109,0.03,0.174,https://m.place.naver.com/restaurant/1242771606/review/visitor
미식가주택,0.375,0.155,0.25,0.067,0,0,0,0.152,0,https://m.place.naver.com/restaurant/1287080078/review/visitor
파쿠모리 홍대2호점,0.323,0.129,0.142,0.047,0.056,0.082,0.082,0.043,0.095,https://m.place.naver.com/restaurant/35263520/review/visitor
아니키,0.394,0.22,0.17,0.037,0,0.073,0,0.106,0,https://m.place.naver.com/restaurant/1686455081/review/visitor
합정공감,0.438,0.249,0.12,0,0,0,0,0.193,0,https://m.place.naver.com/restaurant/1266638776/review/visitor
시오,0.355,0.095,0.137,0.052,0.088,0.044,0.149,0.081,0,https://m.place.naver.com/restaurant/1605124064/review/visitor
칸다소바,0.339,0.114,0.139,0.037,0.063,0.032,0.092,0.018,0.166,https://m.place.naver.com/restaurant/1736095566/review/visitor
거북이의 꿈,0.276,0.155,0.173,0.059,0.113,0.022,0.034,0.049,0.119,https://m.place.naver.com/restaurant/1467566565/review/visitor
부탄츄 홍대본점,0.345,0.102,0.074,0.024,0.06,0.093,0.138,0.016,0.147,https://m.place.naver.com/restaurant/31801473/review/visitor
연하동,0.363,0.132,0.175,0.043,0.081,0.026,0.096,0.027,0.057,https://m.place.naver.com/restaurant/1668003266/review/visitor
스미비부타동,0.313,0.102,0.079,0.067,0.066,0.074,0.089,0.026,0.182,https://m.place.naver.com/restaurant/1479575962/review/visitor
올더플레이트,0.283,0.158,0.109,0.108,0.078,0.071,0.063,0.131,0,https://m.place.naver.com/restaurant/38667250/review/visitor
초이다이닝,0.299,0.167,0.177,0.06,0.091,0.033,0.046,0.086,0.04,https://m.place.naver.com/restaurant/1485118707/review/visitor
멘야하나비 합정점,0.258,0.14,0.128,0.057,0.094,0.054,0.094,0.014,0.162,https://m.place.naver.com/restaurant/1393927574/review/visitor
락희돈,0.437,0.122,0.185,0,0.117,0.039,0.048,0.052,0,https://m.place.naver.com/restaurant/20940399/review/visitor
연남동멘,0.186,0.14,0.093,0.155,0.101,0,0.14,0.14,0.047,https://m.place.naver.com/restaurant/1159604977/review/visitor
우동 카덴,0.371,0.078,0.137,0.048,0.083,0.042,0.169,0,0.072,https://m.place.naver.com/restaurant/34393996/review/visitor
콘부 연남,0.261,0.164,0.157,0.075,0.03,0.037,0.037,0.134,0.104,https://m.place.naver.com/restaurant/1719059855/review/visitor
카와카츠 합정점,0.321,0.111,0.106,0.073,0.122,0.023,0.119,0.032,0.092,https://m.place.naver.com/restaurant/1152661518/review/visitor
스시 테마리겐,0.333,0.091,0.091,0.03,0.182,0.121,0.121,0,0.03,https://m.place.naver.com/restaurant/1583321344/review/visitor
우와,0.364,0.186,0.18,0.048,0.098,0.024,0.032,0.068,0,https://m.place.naver.com/restaurant/56228015/review/visitor
기요한,0.268,0.157,0.164,0.058,0.115,0.044,0.065,0.017,0.112,https://m.place.naver.com/restaurant/1794723744/review/visitor
미츠루,0.249,0.162,0.144,0.077,0.111,0.057,0.033,0.021,0.147,https://m.place.naver.com/restaurant/1862225287/review/visitor
야키토리 나루토 오모테나시,0.277,0.231,0.146,0.11,0.089,0.077,0,0.07,0,https://m.place.naver.com/restaurant/1163261577/review/visitor
야키토리 나루토,0.31,0.228,0.185,0.057,0.089,0.056,0,0.06,0.014,https://m.place.naver.com/restaurant/1294694156/review/visitor
온미동,0.338,0.21,0.077,0.101,0.118,0,0.027,0.095,0.034,https://m.place.naver.com/restaurant/1845042944/review/visitor
이츠모라멘,0.33,0.13,0.102,0.058,0.079,0.09,0.071,0.017,0.123,https://m.place.naver.com/restaurant/1542231124/review/visitor
하카타분코,0.368,0.129,0.116,0.027,0.052,0.05,0.046,0.022,0.191,https://m.place.naver.com/restaurant/11678649/review/visitor
넨네,0.267,0.198,0.139,0.129,0,0.188,0,0.079,0,https://m.place.naver.com/restaurant/1369799475/review/visitor
스아게,0.379,0.108,0.206,0.067,0.101,0,0.029,0,0.109,https://m.place.naver.com/restaurant/1837560807/review/visitor
마시타야,0.328,0.109,0.154,0.044,0.078,0.026,0.039,0.018,0.203,https://m.place.naver.com/restaurant/543015182/review/visitor
극락,0.286,0.24,0.12,0.137,0,0,0,0.217,0,https://m.place.naver.com/restaurant/1779512227/review/visitor
츠케루,0.243,0.134,0.081,0.085,0.054,0.061,0.129,0.042,0.17,https://m.place.naver.com/restaurant/1553736939/review/visitor
세상끝의라멘,0.296,0.151,0.101,0.097,0.098,0.051,0.046,0.045,0.115,https://m.place.naver.com/restaurant/1644407254/review/visitor
카와카츠 본점,0.28,0.15,0.091,0.081,0.122,0.028,0.078,0.027,0.144,https://m.place.naver.com/restaurant/1924306900/review/visitor
사쿠라테이엔 합정점,0.299,0.168,0.196,0.15,0,0,0,0.186,0,https://m.place.naver.com/restaurant/1244165509/review/visitor
카미야,0.343,0.119,0.087,0.036,0.061,0.163,0.087,0.031,0.073,https://m.place.naver.com/restaurant/19535343/review/visitor
카레시,0.347,0.082,0.169,0.09,0.117,0,0.063,0.056,0.076,https://m.place.naver.com/restaurant/1750900108/review/visitor
오마카세 코바시,0.257,0.126,0.192,0.102,0.192,0.024,0.024,0.084,0,https://m.place.naver.com/restaurant/1079580857/review/visitor
물고기초밥,0.358,0.148,0.034,0.046,0.189,0.065,0.056,0.032,0.072,https://m.place.naver.com/restaurant/34780088/review/visitor
멘타카무쇼,0.271,0.128,0.14,0.05,0.058,0.041,0.143,0.015,0.154,https://m.place.naver.com/restaurant/1080330680/review/visitor
소코아 홍대점,0.336,0.167,0.111,0.062,0.075,0.049,0.069,0.075,0.056,https://m.place.naver.com/restaurant/1414076813/review/visitor
쿠시노주방,0.433,0.171,0.223,0,0,0.042,0,0.131,0,https://m.place.naver.com/restaurant/86471200/review/visitor
멘야준,0.285,0.169,0.118,0.093,0.096,0.025,0.025,0.02,0.169,https://m.place.naver.com/restaurant/1070926739/review/visitor
정돈 홍대점,0.371,0.145,0.079,0.106,0.093,0.026,0.082,0.063,0.035,https://m.place.naver.com/restaurant/1537730077/review/visitor
코노미,0.403,0.102,0.099,0.03,0.08,0.156,0.045,0.039,0.046,https://m.place.naver.com/restaurant/30815324/review/visitor
심야식당 하스,0.485,0.237,0.167,0.035,0,0.035,0,0.04,0,https://m.place.naver.com/restaurant/38693049/review/visitor
긴자료코 본점,0.357,0.071,0.074,0.017,0.054,0.087,0.175,0.018,0.147,https://m.place.naver.com/restaurant/793535986/review/visitor
토끼정 홍대,0.325,0.175,0.098,0.093,0.045,0.057,0.11,0.097,0,https://m.place.naver.com/restaurant/38314477/review/visitor
샤브로21 연남,0.19,0.138,0.017,0.111,0.122,0.169,0.029,0.068,0.157,https://m.place.naver.com/restaurant/1747211292/review/visitor
카츠업 홍대점,0.23,0.115,0.042,0.1,0.063,0.112,0.104,0.029,0.205,https://m.place.naver.com/restaurant/1157398737/review/visitor
이가산시도삭면,0.295,0.098,0.164,0.105,0.094,0.085,0.084,0,0.075,https://m.place.naver.com/restaurant/1567564724/review/visitor
중화복춘,0.314,0.154,0.169,0.047,0.128,0.019,0.089,0.08,0,https://m.place.naver.com/restaurant/38301272/review/visitor
주방일기,0.251,0.152,0.145,0.074,0.103,0.09,0.083,0.101,0,https://m.place.naver.com/restaurant/1117344263/review/visitor
진가,0.277,0.162,0.131,0.078,0.149,0.07,0.097,0.037,0,https://m.place.naver.com/restaurant/1940095324/review/visitor
후통,0.294,0.127,0.094,0.063,0.135,0.09,0.102,0.094,0,https://m.place.naver.com/restaurant/38779891/review/visitor
본차일드,0.269,0.224,0.103,0.172,0.133,0,0,0.098,0,https://m.place.naver.com/restaurant/1776919158/review/visitor
티엔미미 홍대점,0.286,0.147,0.199,0.133,0.075,0,0,0.16,0,https://m.place.naver.com/restaurant/1477750254/review/visitor
진진 가연,0.417,0.129,0.159,0.063,0.133,0.048,0.037,0,0.015,https://m.place.naver.com/restaurant/1449114928/review/visitor
벽돌해피푸드 합정점,0.35,0.128,0.154,0.103,0,0,0.12,0.145,0,https://m.place.naver.com/restaurant/1657750948/review/visitor
대륙포차,0.328,0.154,0.149,0.044,0.11,0.129,0.085,0,0,https://m.place.naver.com/restaurant/1093122204/review/visitor
진진,0.415,0.113,0.192,0.035,0.137,0.057,0.035,0,0.016,https://m.place.naver.com/restaurant/36202928/review/visitor
동보성,0.424,0.133,0.064,0.044,0.08,0.095,0.077,0,0.082,https://m.place.naver.com/restaurant/20917604/review/visitor
디이롱,0.31,0.1,0.092,0.071,0.089,0.127,0.018,0.014,0.178,https://m.place.naver.com/restaurant/1627258053/review/visitor
라오광식반,0.201,0.113,0.201,0.083,0.077,0.094,0.08,0.074,0.077,https://m.place.naver.com/restaurant/1671280630/review/visitor
자자,0.287,0.176,0.107,0.118,0.124,0.041,0.052,0.094,0,https://m.place.naver.com/restaurant/1418628816/review/visitor
죽순,0.47,0.115,0.061,0.039,0.097,0.061,0.027,0.021,0.109,https://m.place.naver.com/restaurant/1978359775/review/visitor
송가,0.339,0.157,0.209,0.035,0.113,0.07,0.035,0.043,0,https://m.place.naver.com/restaurant/13191758/review/visitor
미미본관,0.339,0.144,0.136,0.028,0.108,0.123,0.034,0.089,0,https://m.place.naver.com/restaurant/1200799924/review/visitor
편의방,0.421,0.078,0.203,0.009,0.061,0.109,0.078,0,0.041,https://m.place.naver.com/restaurant/36667682/review/visitor
향미 연남동점,0.431,0.151,0.168,0.039,0.086,0.072,0.053,0,0,https://m.place.naver.com/restaurant/11680030/review/visitor
부영각,0.439,0.157,0.129,0.051,0.103,0.058,0.064,0,0,https://m.place.naver.com/restaurant/11626202/review/visitor
월량관,0.442,0.1,0.187,0.024,0.058,0.084,0.064,0.041,0,https://m.place.naver.com/restaurant/1810051671/review/visitor
리춘시장 연남점,0.319,0.15,0.084,0.078,0.07,0.193,0.067,0.039,0,https://m.place.naver.com/restaurant/1213381047/review/visitor
화상손만두,0.25,0.167,0.117,0.108,0.1,0.138,0.067,0,0.054,https://m.place.naver.com/restaurant/1189970521/review/visitor
따씽,0.297,0.199,0.158,0.079,0.09,0.056,0.053,0.026,0.041,https://m.place.naver.com/restaurant/1855707466/review/visitor
하이디라오 홍대점,0.345,0.291,0.096,0.13,0.139,0,0,0,0,https://m.place.naver.com/restaurant/653467130/review/visitor
은하루,0.382,0.152,0.097,0.072,0.14,0.053,0.043,0.03,0.03,https://m.place.naver.com/restaurant/1882335739/review/visitor
카이화,0.354,0.184,0.046,0.078,0.095,0.13,0.075,0,0.037,https://m.place.naver.com/restaurant/1732949952/review/visitor
손오공마라탕 서교점,0.297,0.141,0.059,0.117,0.147,0.074,0.062,0,0.102,https://m.place.naver.com/restaurant/1889129222/review/visitor
연교,0.425,0.088,0.209,0.026,0.076,0.094,0.045,0.015,0.023,https://m.place.naver.com/restaurant/1051220427/review/visitor
뚜이연남,0.286,0.229,0.132,0.135,0,0.08,0,0.138,0,https://m.place.naver.com/restaurant/1151030658/review/visitor
훠궈나라 홍대점,0.346,0.08,0.052,0.027,0.134,0.209,0.128,0,0.025,https://m.place.naver.com/restaurant/1823032189/review/visitor
송탄영빈루 홍대점,0.47,0.144,0.033,0.06,0.07,0.037,0.149,0,0.037,https://m.place.naver.com/restaurant/33093410/review/visitor
불이아 홍대본점,0.351,0.169,0.079,0.103,0.167,0,0.046,0.085,0,https://m.place.naver.com/restaurant/11679294/review/visitor
소고산제일루,0.389,0.13,0.12,0.043,0.154,0.058,0.072,0.034,0,https://m.place.naver.com/restaurant/18347678/review/visitor
신주양꼬치 홍대점,0.511,0.166,0.06,0.06,0.068,0.081,0.043,0.013,0,https://m.place.naver.com/restaurant/36504830/review/visitor
소홍우마라탕,0.226,0.146,0.059,0.191,0.118,0.087,0.056,0.042,0.076,https://m.place.naver.com/restaurant/1463822543/review/visitor
명장,0.336,0.18,0.032,0.032,0.051,0.143,0.143,0,0.083,https://m.place.naver.com/restaurant/1270213408/review/visitor
뜻밖에양꼬치,0.475,0.172,0.08,0.05,0.061,0.088,0.042,0.032,0,https://m.place.naver.com/restaurant/1973372078/review/visitor
몽중식,0.234,0.21,0.253,0.044,0.054,0.02,0.02,0.165,0,https://m.place.naver.com/restaurant/1476690926/review/visitor
초마,0.485,0.127,0.1,0.032,0.104,0.032,0.07,0,0.05,https://m.place.naver.com/restaurant/13575406/review/visitor
정원각,0.385,0.2,0.051,0.025,0.04,0.135,0.047,0,0.116,https://m.place.naver.com/restaurant/862641752/review/visitor
손오공마라탕 동교동점,0.423,0.129,0.043,0.04,0.12,0.075,0.056,0,0.114,https://m.place.naver.com/restaurant/1361233273/review/visitor
청운,0.392,0.14,0.041,0.061,0.075,0.119,0.092,0,0.078,https://m.place.naver.com/restaurant/37489475/review/visitor
한성짬뽕,0.235,0.13,0.095,0.105,0.095,0.055,0.135,0.085,0.065,https://m.place.naver.com/restaurant/1496600562/review/visitor
향미각,0.422,0.128,0.024,0.04,0.061,0.147,0.086,0,0.092,https://m.place.naver.com/restaurant/13154805/review/visitor
마라공방 홍대입구역직영점,0.309,0.104,0.03,0.095,0.155,0.093,0.082,0.022,0.109,https://m.place.naver.com/restaurant/1475241724/review/visitor
수림식당 홍대점,0.207,0.13,0.103,0.143,0.077,0.083,0.063,0.083,0.11,https://m.place.naver.com/restaurant/1013909886/review/visitor
별자리마라탕&훠궈 무한리필 홍대점,0.351,0.091,0.049,0.059,0.128,0.128,0.103,0,0.09,https://m.place.naver.com/restaurant/1034437726/review/visitor
사천리 훠궈,0.391,0.124,0.114,0.051,0.165,0.028,0.071,0.056,0,https://m.place.naver.com/restaurant/1729799905/review/visitor
