가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크
feel01,0.427,0.152,0,0.116,0,0.14,0,0.165,0,https://m.place.naver.com/restaurant/1619782364/review/visitor
니뽕내뽕 홍대점,0.459,0.104,0.062,0.049,0.044,0.118,0.092,0.012,0.061,https://m.place.naver.com/restaurant/34099507/review/visitor
홍콩식당 홍대점,0.254,0.146,0.22,0.06,0.06,0.045,0.097,0.052,0.067,https://m.place.naver.com/restaurant/1536552917/review/visitor
취홍,0.385,0.15,0.049,0.034,0.076,0.116,0.089,0.011,0.091,https://m.place.naver.com/restaurant/37578817/review/visitor
천리향양꼬치,0.357,0.163,0.047,0.016,0.054,0.31,0.054,0,0,https://m.place.naver.com/restaurant/1648002275/review/visitor
심양 홍대점,0.45,0.195,0.067,0.04,0.06,0.101,0.054,0.034,0,https://m.place.naver.com/restaurant/20672072/review/visitor
경성양꼬치 연남직영점,0.465,0.235,0.053,0.058,0.137,0.053,0,0,0,https://m.place.naver.com/restaurant/37556305/review/visitor
하하,0.446,0.045,0.204,0.013,0.06,0.096,0.125,0,0.012,https://m.place.naver.com/restaurant/19861672/review/visitor
진화쿵푸마라탕 홍대본점,0.297,0.1,0.059,0.077,0.15,0.098,0.106,0.011,0.101,https://m.place.naver.com/restaurant/56819516/review/visitor
탕화쿵푸마라탕 연남점,0.396,0.117,0.038,0.028,0.119,0.085,0.066,0.035,0.116,https://m.place.naver.com/restaurant/1141698218/review/visitor
천일양꼬치,0.514,0.114,0.107,0,0.079,0.114,0.071,0,0,https://m.place.naver.com/restaurant/36342690/review/visitor
슈츄안꼬치훠궈마라탕,0.338,0.18,0.14,0.037,0.143,0.077,0.085,0,0,https://m.place.naver.com/restaurant/1118558810/review/visitor
신룽푸마라탕 홍대점,0.36,0.114,0.037,0.075,0.138,0.086,0.069,0,0.12,https://m.place.naver.com/restaurant/1308791272/review/visitor
중화복춘 살롱 시그니처,0.242,0.175,0.165,0.077,0.17,0,0.057,0.113,0,https://m.place.naver.com/restaurant/1510629096/review/visitor
일마일라 마포점,0.22,0.201,0.072,0.178,0.201,0.066,0.023,0.039,0,https://m.place.naver.com/restaurant/1383299713/review/visitor
미스타교자 본점,0.242,0.184,0.15,0.062,0.04,0.147,0,0.123,0.053,https://m.place.naver.com/restaurant/1230577374/review/visitor
라화쿵부 홍대점,0.321,0.112,0.028,0.085,0.15,0.109,0.076,0.025,0.094,https://m.place.naver.com/restaurant/1094057772/review/visitor
홍콩대패당,0.345,0.155,0.202,0.071,0.065,0.018,0.089,0.03,0.024,https://m.place.naver.com/restaurant/1159061896/review/visitor
영빈,0.356,0.178,0.023,0.03,0.083,0.133,0.095,0,0.102,https://m.place.naver.com/restaurant/11675084/review/visitor
이가탕수6,0.337,0.15,0.035,0.046,0.125,0.152,0.085,0,0.07,https://m.place.naver.com/restaurant/1132760307/review/visitor
탕화쿵푸마라탕 홍대입구7호점,0.43,0.127,0.035,0.063,0.125,0.067,0.052,0.009,0.091,https://m.place.naver.com/restaurant/1200395362/review/visitor
연희중식 마포합정본점,0.495,0.112,0.054,0.064,0.129,0.071,0.051,0,0.024,https://m.place.naver.com/restaurant/38641874/review/visitor
홍콩반점0410 홍대입구역점,0.332,0.139,0.029,0.061,0.044,0.167,0.072,0,0.157,https://m.place.naver.com/restaurant/33167059/review/visitor
시향 홍대본점,0.404,0.144,0.028,0.036,0.08,0.108,0.1,0,0.1,https://m.place.naver.com/restaurant/13154854/review/visitor
연남취향,0.283,0.105,0.164,0.083,0.085,0.053,0.067,0.159,0,https://m.place.naver.com/restaurant/1206369946/review/visitor
청록양식,0.303,0.191,0.182,0.058,0.062,0.052,0.024,0.129,0,https://m.place.naver.com/restaurant/1815661840/review/visitor
광야,0.317,0.151,0.154,0.112,0.097,0,0.022,0.148,0,https://m.place.naver.com/restaurant/1401001726/review/visitor
남산호랭이,0.305,0.115,0.092,0.126,0.057,0.111,0.079,0.116,0,https://m.place.naver.com/restaurant/1726349203/review/visitor
헤이죠지,0.271,0.157,0.144,0.087,0.054,0.034,0.058,0.195,0,https://m.place.naver.com/restaurant/1548716472/review/visitor
리차드하우스 연남,0.322,0.129,0.118,0.095,0.073,0.028,0.041,0.193,0,https://m.place.naver.com/restaurant/1629339009/review/visitor
홍대 농담,0.324,0.158,0.17,0.095,0,0.085,0,0.167,0,https://m.place.naver.com/restaurant/1463569236/review/visitor
디어리스트 연남,0.256,0.22,0.136,0.107,0.076,0.027,0.021,0.157,0,https://m.place.naver.com/restaurant/1759441377/review/visitor
서양면옥,0.311,0.135,0.217,0.058,0.112,0.026,0.036,0.105,0,https://m.place.naver.com/restaurant/1800955905/review/visitor
카멜로연남,0.351,0.164,0.107,0.064,0.074,0,0.044,0.195,0,https://m.place.naver.com/restaurant/1237104695/review/visitor
해브,0.279,0.146,0.15,0.062,0.15,0.032,0.049,0.132,0,https://m.place.naver.com/restaurant/1304934400/review/visitor
테이커테이블,0.305,0.184,0.103,0.084,0.079,0.034,0,0.211,0,https://m.place.naver.com/restaurant/1858568345/review/visitor
스푼,0.279,0.159,0.148,0.111,0.109,0.075,0.045,0.058,0.017,https://m.place.naver.com/restaurant/1519152766/review/visitor
양식구옥,0.292,0.219,0.069,0.139,0.07,0.035,0.032,0.144,0,https://m.place.naver.com/restaurant/1129896368/review/visitor
스케줄합정,0.32,0.14,0.106,0.088,0.077,0,0,0.27,0,https://m.place.naver.com/restaurant/1836765337/review/visitor
도쿄양식,0.244,0.198,0.113,0.137,0.092,0.095,0.054,0.068,0,https://m.place.naver.com/restaurant/1721357273/review/visitor
거문양,0.342,0.278,0.179,0.053,0,0.095,0,0.053,0,https://m.place.naver.com/restaurant/1270779454/review/visitor
빌라 더 다이닝,0.222,0.153,0.097,0.092,0.119,0.081,0.086,0.15,0,https://m.place.naver.com/restaurant/637360725/review/visitor
피자네버슬립스,0.303,0.098,0.152,0.069,0.095,0,0.112,0.171,0,https://m.place.naver.com/restaurant/1554706925/review/visitor
유니의우아한식탁,0.283,0.196,0.06,0.103,0.062,0.078,0.027,0.191,0,https://m.place.naver.com/restaurant/1869238855/review/visitor
로쏘 1924 나폴리 화덕피자 홍대점,0.278,0.089,0.102,0.11,0.177,0.123,0,0.067,0.054,https://m.place.naver.com/restaurant/1017474885/review/visitor
브런치가,0.369,0.113,0.063,0.082,0.107,0.058,0.075,0.132,0,https://m.place.naver.com/restaurant/34098350/review/visitor
13-Jul,0.319,0.227,0.064,0.096,0.087,0.087,0,0.12,0,https://m.place.naver.com/restaurant/1127996416/review/visitor
미도인 홍대,0.328,0.154,0.104,0.087,0.067,0.066,0.06,0.102,0.034,https://m.place.naver.com/restaurant/1436718221/review/visitor
슈퍼두퍼 홍대점,0.261,0.086,0.124,0.144,0.134,0,0.031,0.117,0.103,https://m.place.naver.com/restaurant/1349823588/review/visitor
오리지널시카고피자 홍대본점,0.336,0.166,0.095,0.108,0.051,0.032,0.084,0.128,0,https://m.place.naver.com/restaurant/35554133/review/visitor
가든포에트,0.379,0.207,0,0.091,0,0,0,0.323,0,https://m.place.naver.com/restaurant/1616124276/review/visitor
빠넬로,0.326,0.143,0.217,0.06,0.171,0.018,0,0.065,0,https://m.place.naver.com/restaurant/33707338/review/visitor
테이스티버거,0.376,0.127,0.147,0.057,0.109,0.024,0.047,0.037,0.075,https://m.place.naver.com/restaurant/1935683021/review/visitor
감성타코 홍대점,0.448,0.145,0.119,0.061,0.067,0,0.079,0.081,0,https://m.place.naver.com/restaurant/38782401/review/visitor
스테이크 슈퍼,0.286,0.197,0,0.146,0.083,0.121,0,0.166,0,https://m.place.naver.com/restaurant/1481535598/review/visitor
독타운피자,0.348,0.191,0.071,0.093,0.072,0.058,0.035,0.132,0,https://m.place.naver.com/restaurant/1188843453/review/visitor
이즈비 연남,0.27,0.212,0.06,0.139,0.089,0.052,0,0.179,0,https://m.place.naver.com/restaurant/1036850602/review/visitor
살사리까,0.265,0.173,0.167,0.107,0.12,0,0,0.167,0,https://m.place.naver.com/restaurant/1045321111/review/visitor
38도씨식당,0.316,0.176,0.121,0.067,0.044,0.044,0,0.231,0,https://m.place.naver.com/restaurant/1959618992/review/visitor
이빠네마그릴 스테이크 홍대점,0.309,0.168,0.119,0.053,0.072,0.096,0.109,0.073,0,https://m.place.naver.com/restaurant/1049125211/review/visitor
프리모바치오바치 홍대본점,0.391,0.161,0.072,0.04,0.054,0.116,0.102,0.063,0,https://m.place.naver.com/restaurant/11707564/review/visitor
나성타코,0.343,0.127,0.098,0.04,0.091,0.093,0.054,0.087,0.068,https://m.place.naver.com/restaurant/1185189754/review/visitor
이름없는파스타 연남점,0.347,0.115,0.095,0.072,0.06,0.129,0.039,0.04,0.103,https://m.place.naver.com/restaurant/1127290743/review/visitor
트리플 베이글,0.276,0.169,0.13,0.18,0.064,0,0,0.181,0,https://m.place.naver.com/restaurant/1675858699/review/visitor
비스트로주라 홍대본점,0.344,0.192,0.079,0.03,0.094,0.126,0.063,0.021,0.051,https://m.place.naver.com/restaurant/364996702/review/visitor
비스트로사랑방,0.357,0.183,0.144,0.068,0.077,0.055,0.018,0.087,0.01,https://m.place.naver.com/restaurant/1881560133/review/visitor
트래블메이커,0.331,0.088,0.152,0.046,0.046,0.086,0.088,0.102,0.06,https://m.place.naver.com/restaurant/32316936/review/visitor
랑빠스81,0.291,0.144,0.234,0.022,0.072,0.05,0,0.187,0,https://m.place.naver.com/restaurant/37282026/review/visitor
더핏짜 홍대,0.24,0.178,0.096,0.082,0.063,0.081,0.075,0.068,0.119,https://m.place.naver.com/restaurant/1015887536/review/visitor
219 다이닝 레스토랑,0.318,0.176,0.042,0.13,0.052,0.144,0,0.138,0,https://m.place.naver.com/restaurant/36943175/review/visitor
박쉡,0.308,0.151,0.157,0.038,0.103,0.043,0.027,0.173,0,https://m.place.naver.com/restaurant/1090371533/review/visitor
고에몬 AK플라자 홍대,0.347,0.127,0.16,0.077,0.052,0.035,0.097,0.059,0.046,https://m.place.naver.com/restaurant/1426315717/review/visitor
키친485,0.326,0.186,0.149,0.072,0.147,0,0.026,0.094,0,https://m.place.naver.com/restaurant/31694410/review/visitor
마녀주방 홍대점,0.301,0.152,0.167,0.035,0.034,0.084,0.038,0.189,0,https://m.place.naver.com/restaurant/661723045/review/visitor
홍대 수제버거 풀리너마이트,0.256,0.145,0.073,0.142,0.131,0.035,0.056,0.161,0,https://m.place.naver.com/restaurant/1631324110/review/visitor
윤씨밀방,0.365,0.086,0.124,0,0.053,0.164,0.146,0.031,0.032,https://m.place.naver.com/restaurant/13341197/review/visitor
틸애프터,0.253,0.161,0.125,0.141,0.043,0.08,0,0.196,0,https://m.place.naver.com/restaurant/1216066656/review/visitor
노브랜드버거 홍대점,0.3,0.091,0.031,0.074,0.073,0.231,0.04,0.018,0.143,https://m.place.naver.com/restaurant/1244364095/review/visitor
팔로피자,0.431,0.103,0.103,0.04,0.162,0.035,0.034,0.092,0,https://m.place.naver.com/restaurant/36785829/review/visitor
슬로우타코,0.356,0.142,0.091,0.086,0.093,0.05,0.11,0.071,0,https://m.place.naver.com/restaurant/1167186610/review/visitor
더피자보이즈 홍대입구역점,0.45,0.108,0.097,0.043,0.057,0.072,0.098,0.075,0,https://m.place.naver.com/restaurant/38411516/review/visitor
띠오 데 산타바바라 합정점,0.293,0.186,0.157,0.073,0.097,0.044,0.075,0.074,0,https://m.place.naver.com/restaurant/1406660024/review/visitor
조이버거,0.247,0.13,0.085,0.102,0.154,0.067,0.073,0.097,0.045,https://m.place.naver.com/restaurant/1547599486/review/visitor
다운타우너 연남,0.387,0.134,0.087,0.107,0.105,0,0.028,0.095,0.057,https://m.place.naver.com/restaurant/1228027510/review/visitor
파스치노팬스테이크,0.298,0.141,0.063,0.09,0.1,0.189,0.065,0.032,0.022,https://m.place.naver.com/restaurant/33868675/review/visitor
노이뜨레,0.292,0.164,0.077,0.128,0.052,0.119,0,0.168,0,https://m.place.naver.com/restaurant/1284739480/review/visitor
소담상회 with 아이디어스 플레이스 서교,0.247,0.259,0.052,0.165,0.113,0,0,0.163,0,https://m.place.naver.com/restaurant/1358125051/review/visitor
수지앤파스타,0.358,0.148,0.068,0.071,0.063,0.117,0.074,0.06,0.041,https://m.place.naver.com/restaurant/37192534/review/visitor
웻핑거,0.216,0.166,0,0.138,0.092,0.049,0.127,0.152,0.06,https://m.place.naver.com/restaurant/1475444598/review/visitor
에이셉피자 홍대점,0.243,0.176,0.091,0.158,0.03,0.046,0.055,0.201,0,https://m.place.naver.com/restaurant/1193759736/review/visitor
온블랙94 상수점,0.322,0.192,0.101,0,0.069,0.101,0.083,0.13,0,https://m.place.naver.com/restaurant/1072465860/review/visitor
미장플라쎄,0.285,0.206,0.118,0.109,0.118,0.067,0.024,0.074,0,https://m.place.naver.com/restaurant/1951344714/review/visitor
카페 뚜또 페르 뚜띠,0.255,0.171,0.174,0.094,0.1,0.024,0,0.162,0.021,https://m.place.naver.com/restaurant/1437866843/review/visitor
1989버거스탠드 연남,0.225,0.209,0.097,0.109,0.151,0.038,0.02,0.103,0.048,https://m.place.naver.com/restaurant/1704918395/review/visitor
플레이트946,0.274,0.191,0.059,0.102,0.089,0.138,0,0.147,0,https://m.place.naver.com/restaurant/1566687178/review/visitor
달리181 홍대점,0.234,0.175,0.1,0.1,0.092,0.058,0.093,0.149,0,https://m.place.naver.com/restaurant/1824093332/review/visitor
합정조이떡볶이,0.387,0.173,0.017,0.019,0.034,0.177,0.097,0.004,0.092,https://m.place.naver.com/restaurant/1747711449/review/visitor
무궁화타운 홍대점,0.267,0.134,0.047,0.081,0.041,0.128,0.058,0.099,0.145,https://m.place.naver.com/restaurant/1847343692/review/visitor
봉구가래떡볶이 홍대점,0.283,0.133,0.1,0.094,0.063,0.124,0.087,0.022,0.093,https://m.place.naver.com/restaurant/1734153618/review/visitor
키토분식 동교점,0.269,0.11,0.126,0.074,0.137,0.056,0.02,0.009,0.2,https://m.place.naver.com/restaurant/1984185113/review/visitor
옥희네 떡볶이,0.253,0.167,0.051,0.119,0.049,0.16,0.059,0,0.142,https://m.place.naver.com/restaurant/1927893209/review/visitor
홍대씨부엉,0.347,0.175,0.183,0.031,0.077,0.076,0.073,0.038,0,https://m.place.naver.com/restaurant/1553150505/review/visitor
또보겠지떡볶이집 붕붕허니비점,0.39,0.16,0.114,0.04,0.072,0.095,0.08,0.048,0,https://m.place.naver.com/restaurant/37663862/review/visitor
올바른김밥,0.291,0.104,0.176,0.038,0.191,0.044,0.032,0.003,0.121,https://m.place.naver.com/restaurant/703816866/review/visitor
그동네떡볶이 홍대본점,0.432,0.085,0.148,0.016,0.041,0.111,0.084,0.008,0.075,https://m.place.naver.com/restaurant/32481151/review/visitor
또보겠지떡볶이집 호호시스터점,0.478,0.112,0.114,0.019,0.072,0.087,0.081,0.037,0,https://m.place.naver.com/restaurant/37663561/review/visitor
홍대조폭떡볶이 홍대2호점,0.412,0.082,0.027,0.045,0.037,0.175,0.077,0.014,0.132,https://m.place.naver.com/restaurant/35560276/review/visitor
홍마떡 홍대본점,0.4,0.117,0.116,0.06,0.055,0.094,0.105,0.021,0.034,https://m.place.naver.com/restaurant/37179366/review/visitor
불떡클럽 연남본점,0.283,0.198,0.078,0.127,0.033,0.043,0.078,0.159,0,https://m.place.naver.com/restaurant/1440779896/review/visitor
김사또상수본점,0.315,0.162,0.079,0.035,0.06,0.177,0.138,0.019,0.015,https://m.place.naver.com/restaurant/37093263/review/visitor
자성당,0.409,0.045,0.156,0.021,0.075,0.087,0.089,0,0.117,https://m.place.naver.com/restaurant/34959252/review/visitor
또보겠지떡볶이집 호호피크닉점,0.406,0.13,0.11,0.062,0.097,0.07,0.077,0.048,0,https://m.place.naver.com/restaurant/1732575894/review/visitor
삼청당 홍대본점,0.246,0.09,0.114,0.084,0.125,0.063,0.051,0.032,0.196,https://m.place.naver.com/restaurant/1923547109/review/visitor
또보겠지떡볶이 해피토스점,0.423,0.158,0.091,0.063,0.055,0.081,0.068,0.061,0,https://m.place.naver.com/restaurant/1489217680/review/visitor
또보겠지떡볶이집 깐따삐아점,0.404,0.161,0.086,0.063,0.071,0.084,0.073,0.058,0,https://m.place.naver.com/restaurant/1068496177/review/visitor
또보겠지떡볶이집 스마일보이점,0.432,0.145,0.099,0.021,0.083,0.09,0.071,0.046,0.011,https://m.place.naver.com/restaurant/1499118397/review/visitor
남북통일,0.423,0.093,0.104,0.026,0.075,0.073,0.139,0,0.067,https://m.place.naver.com/restaurant/11710184/review/visitor
테라김밥 홍대본점,0.406,0.067,0.127,0.033,0.078,0.091,0.044,0.01,0.144,https://m.place.naver.com/restaurant/1068082260/review/visitor
떡볶이농장 홍대점,0.261,0.094,0.109,0.109,0.022,0.123,0.109,0.065,0.109,https://m.place.naver.com/restaurant/1989409935/review/visitor
싸다김밥 홍대역점,0.284,0.082,0.028,0.056,0.064,0.182,0.09,0.006,0.21,https://m.place.naver.com/restaurant/1941805575/review/visitor
무타리,0.333,0.176,0.079,0.065,0.065,0.111,0.125,0.028,0.019,https://m.place.naver.com/restaurant/1886256841/review/visitor
마포만두 합정점,0.318,0.122,0.054,0.042,0.043,0.183,0.061,0,0.176,https://m.place.naver.com/restaurant/11721468/review/visitor
두끼 홍대점,0.317,0.1,0.062,0.041,0.073,0.234,0.158,0,0.017,https://m.place.naver.com/restaurant/37288434/review/visitor
청년다방 서울홍대점,0.453,0.159,0.066,0.069,0.042,0.099,0.09,0.021,0,https://m.place.naver.com/restaurant/37297965/review/visitor
김가네김밥 홍대점,0.374,0.123,0.025,0.036,0.036,0.128,0.106,0,0.171,https://m.place.naver.com/restaurant/36680775/review/visitor
진만두,0.396,0.159,0.223,0.043,0.091,0.037,0,0.027,0.024,https://m.place.naver.com/restaurant/37288686/review/visitor
틈새라면 홍대놀이터점,0.309,0.142,0.072,0.042,0.035,0.13,0.052,0,0.217,https://m.place.naver.com/restaurant/1411060895/review/visitor
나드리김밥 홍대입구역점,0.296,0.089,0.055,0.05,0.071,0.192,0.017,0,0.229,https://m.place.naver.com/restaurant/1238975810/review/visitor
동대문엽기떡볶이 홍대점,0.488,0.121,0.086,0,0.045,0.075,0.134,0.014,0.037,https://m.place.naver.com/restaurant/33891143/review/visitor
김밥천국 홍대본점,0.276,0.126,0.03,0.072,0.034,0.199,0.078,0,0.184,https://m.place.naver.com/restaurant/1288621176/review/visitor
서교밥집,0.231,0.125,0.022,0.026,0.022,0.262,0.173,0,0.139,https://m.place.naver.com/restaurant/32960423/review/visitor
윤수김밥,0.323,0.137,0.037,0.023,0.07,0.13,0.047,0,0.232,https://m.place.naver.com/restaurant/1993072806/review/visitor
청년다방 홍대로데오점,0.477,0.137,0.065,0.059,0.059,0.09,0.096,0,0.017,https://m.place.naver.com/restaurant/1989752719/review/visitor
틈새라면 창전점,0.316,0.146,0.053,0.041,0.047,0.117,0.064,0.012,0.205,https://m.place.naver.com/restaurant/35125269/review/visitor
앙떡로제떡볶이 홍대본점,0.344,0.138,0.069,0.06,0.073,0.162,0.138,0,0.016,https://m.place.naver.com/restaurant/1697700351/review/visitor
해피치즈스마일 연남점,0.289,0.164,0.123,0.111,0.037,0.079,0.097,0.099,0,https://m.place.naver.com/restaurant/1334089514/review/visitor
간지김밥 연남점,0.305,0.1,0.03,0.065,0.093,0.143,0.055,0,0.209,https://m.place.naver.com/restaurant/1164199221/review/visitor
이삭토스트 홍대점,0.387,0.089,0,0.055,0.066,0.21,0.022,0,0.17,https://m.place.naver.com/restaurant/37413985/review/visitor
홍대라패 본점,0.324,0.111,0.093,0.028,0.037,0.139,0.083,0,0.185,https://m.place.naver.com/restaurant/37060491/review/visitor
봉봉,0.297,0.122,0.02,0.034,0.105,0.148,0.111,0.005,0.159,https://m.place.naver.com/restaurant/1363994074/review/visitor
동교김밥,0.261,0.114,0.02,0.095,0.079,0.126,0.068,0.012,0.225,https://m.place.naver.com/restaurant/1472721182/review/visitor
김밥먹는날,0.293,0.159,0.015,0.023,0.055,0.187,0.059,0,0.21,https://m.place.naver.com/restaurant/13154606/review/visitor
이삭토스트 창천점,0.351,0.178,0.047,0.033,0.12,0.192,0.017,0,0.061,https://m.place.naver.com/restaurant/38227443/review/visitor
정중한 라면,0.257,0.152,0.087,0.062,0.051,0.138,0.043,0.014,0.196,https://m.place.naver.com/restaurant/1530594139/review/visitor
빨간모자김밥,0.268,0.164,0.053,0.086,0.13,0.096,0.039,0,0.164,https://m.place.naver.com/restaurant/1458651864/review/visitor
짱주먹밥,0.312,0.101,0.031,0.017,0.056,0.184,0.181,0.021,0.097,https://m.place.naver.com/restaurant/31592378/review/visitor
옆집떡볶이 홍대점,0.407,0.102,0.037,0.019,0.046,0.194,0.176,0,0.019,https://m.place.naver.com/restaurant/1584206255/review/visitor
진경순 부대꼬마김밥 홍대직영점,0.208,0.135,0.052,0.135,0.042,0.135,0.062,0,0.229,https://m.place.naver.com/restaurant/1167649328/review/visitor
아침식탁,0.276,0.163,0.03,0.094,0.094,0.108,0.02,0.03,0.187,https://m.place.naver.com/restaurant/1609467609/review/visitor
동대문엽기떡볶이 상수역점,0.346,0.189,0.038,0.101,0.069,0.094,0.126,0.019,0.019,https://m.place.naver.com/restaurant/1589729484/review/visitor
할머니가래떡볶이 홍대점,0.545,0.073,0.073,0.018,0.073,0.073,0.127,0.005,0.014,https://m.place.naver.com/restaurant/1032649059/review/visitor
즉식 상수점,0.163,0.042,0.084,0.181,0,0.237,0.06,0.023,0.209,https://m.place.naver.com/restaurant/1517626770/review/visitor
명동 신세계떡볶이,0.314,0.218,0.073,0.064,0.082,0.082,0.032,0.005,0.132,https://m.place.naver.com/restaurant/1774348070/review/visitor
밥먹는토끼,0.202,0.09,0.011,0.056,0.022,0.146,0.202,0,0.27,https://m.place.naver.com/restaurant/1034942986/review/visitor
행복한깻잎김밥,0.354,0.126,0.037,0.027,0.061,0.167,0.092,0,0.136,https://m.place.naver.com/restaurant/1376080311/review/visitor
테라김밥,0.356,0.094,0.099,0.058,0.082,0.093,0.037,0.007,0.172,https://m.place.naver.com/restaurant/1105757173/review/visitor
떡군이네떡볶이 홍대신촌점,0.37,0.136,0.117,0.074,0.086,0.068,0.099,0,0.049,https://m.place.naver.com/restaurant/1171725468/review/visitor
실로암손만두,0.288,0.152,0.048,0,0.088,0.12,0.136,0.008,0.16,https://m.place.naver.com/restaurant/20879522/review/visitor
김밥천국 서교점,0.275,0.137,0.015,0.035,0.052,0.18,0.08,0,0.226,https://m.place.naver.com/restaurant/37600550/review/visitor
서교동 김밥,0.253,0.123,0.012,0.04,0.038,0.193,0.033,0.002,0.305,https://m.place.naver.com/restaurant/38275662/review/visitor
얜씨네땡땡거리김밥집,0.295,0.111,0.037,0.014,0.065,0.152,0.124,0.014,0.189,https://m.place.naver.com/restaurant/1510853049/review/visitor
연희김밥 신촌점,0.427,0.131,0.068,0.047,0.129,0.108,0.042,0.004,0.044,https://m.place.naver.com/restaurant/164741744/review/visitor
이삭토스트 마포성산점,0.322,0.199,0.017,0.113,0.093,0.159,0,0.01,0.087,https://m.place.naver.com/restaurant/35032076/review/visitor
원김밥집,0.338,0.198,0.094,0.032,0.104,0.054,0.043,0,0.137,https://m.place.naver.com/restaurant/1157405212/review/visitor
원조마포떡볶이,0.391,0.174,0.043,0,0,0.174,0.043,0,0.174,https://m.place.naver.com/restaurant/37928252/review/visitor
옛날집,0.517,0.159,0.055,0.028,0.103,0.097,0.041,0,0,https://m.place.naver.com/restaurant/19800770/review/visitor
제주정원,0.422,0.176,0.048,0.042,0.114,0.114,0.083,0,0,https://m.place.naver.com/restaurant/36188515/review/visitor
수정옥돌생소금구이,0.392,0.184,0.095,0.053,0.084,0.121,0.071,0,0,https://m.place.naver.com/restaurant/18782898/review/visitor
뭉칫돈,0.317,0.254,0.06,0.228,0.097,0,0,0.045,0,https://m.place.naver.com/restaurant/1101023273/review/visitor
마포소금구이,0.5,0.108,0.078,0,0.054,0.186,0.039,0.034,0,https://m.place.naver.com/restaurant/82850318/review/visitor
로우샹로우,0.303,0.132,0.124,0.149,0.119,0,0,0.173,0,https://m.place.naver.com/restaurant/1110516674/review/visitor
홍익숯불갈비소금구이,0.375,0.145,0.031,0.028,0.111,0.215,0.096,0,0,https://m.place.naver.com/restaurant/1873281326/review/visitor
홍대최대포,0.41,0.194,0.029,0.043,0.09,0.122,0.079,0,0.032,https://m.place.naver.com/restaurant/11609679/review/visitor
붉은낙타,0.336,0.189,0.147,0.097,0,0,0,0.232,0,https://m.place.naver.com/restaurant/1755908543/review/visitor
베이스캠프 홍대본점,0.452,0.108,0.108,0,0.054,0,0.065,0.215,0,https://m.place.naver.com/restaurant/37542231/review/visitor
통통돼지뽈살,0.421,0.14,0.086,0.04,0.094,0.129,0.09,0,0,https://m.place.naver.com/restaurant/19873518/review/visitor
서교동연탄집,0.416,0.201,0.032,0.123,0.078,0.123,0.026,0,0,https://m.place.naver.com/restaurant/1356994783/review/visitor
구워삶다 합정점,0.348,0.176,0.083,0.026,0.053,0.209,0.105,0,0,https://m.place.naver.com/restaurant/37755606/review/visitor
하하&김종국의 401정육식당,0.431,0.201,0.059,0.059,0.097,0.059,0.059,0.033,0,https://m.place.naver.com/restaurant/35117308/review/visitor
육값하네,0.459,0.243,0.045,0.036,0.054,0.117,0.045,0,0,https://m.place.naver.com/restaurant/365735446/review/visitor
핑크솔트 숯불구이,0.361,0.16,0.048,0.146,0.178,0,0,0.106,0,https://m.place.naver.com/restaurant/1267556937/review/visitor
청년화로1987,0.379,0.225,0.086,0.078,0.099,0.024,0,0.109,0,https://m.place.naver.com/restaurant/1632535022/review/visitor
삼삼이네생고깃집 홍대점,0.341,0.186,0.039,0.047,0.085,0.217,0.062,0,0.023,https://m.place.naver.com/restaurant/18785528/review/visitor
꽃피는고기,0.3,0.24,0.058,0.112,0.095,0.12,0.075,0,0,https://m.place.naver.com/restaurant/38404891/review/visitor
혼고집,0.198,0.136,0.057,0.11,0.054,0.136,0.035,0.047,0.227,https://m.place.naver.com/restaurant/1454390682/review/visitor
곰식당,0.289,0.169,0.076,0.047,0.096,0.143,0.076,0,0.103,https://m.place.naver.com/restaurant/1484803171/review/visitor
고고갈비 홍대상수점,0.316,0.207,0.14,0.097,0.045,0.1,0.051,0.044,0,https://m.place.naver.com/restaurant/34897295/review/visitor
볼빨간꽃돼지,0.265,0.174,0.134,0.046,0.086,0.088,0.086,0.121,0,https://m.place.naver.com/restaurant/1680871826/review/visitor
이쪽,0.312,0.209,0.03,0.118,0.123,0.111,0.055,0.023,0.018,https://m.place.naver.com/restaurant/1704485516/review/visitor
냉동바가지 합정본점,0.426,0.185,0,0.093,0.083,0.12,0.093,0,0,https://m.place.naver.com/restaurant/1691919115/review/visitor
철길왕갈비살,0.555,0.144,0.08,0.037,0.076,0.06,0.047,0,0,https://m.place.naver.com/restaurant/11663081/review/visitor
칠백식당,0.32,0.237,0.025,0.12,0.203,0.083,0.012,0,0,https://m.place.naver.com/restaurant/35992980/review/visitor
옹달샘 본점,0.375,0.095,0.068,0.027,0.118,0.13,0.128,0.01,0.048,https://m.place.naver.com/restaurant/13538858/review/visitor
한식 오마카세 미지,0.252,0.203,0.105,0.119,0.102,0.085,0.036,0.097,0,https://m.place.naver.com/restaurant/1153543220/review/visitor
족발애감동홍대점,0.473,0.171,0.093,0,0.085,0.07,0.054,0.054,0,https://m.place.naver.com/restaurant/38276219/review/visitor
무채색,0.296,0.214,0.142,0.105,0,0.064,0,0.179,0,https://m.place.naver.com/restaurant/1146136386/review/visitor
형님저요,0.433,0.192,0.071,0.021,0.121,0.121,0.042,0,0,https://m.place.naver.com/restaurant/18349169/review/visitor
