가게 이름,1,인원 수,2,인원 수,3,인원 수,4,인원 수,5,인원 수,6,인원 수,7,인원 수,8,인원 수,9,인원 수,10,인원 수,
낭풍,음식이 맛있어요,165,양이 많아요,85,친절해요,76,가성비가 좋아요,73,매장이 청결해요,45,재료가 신선해요,33,매장이 넓어요,16,특별한 메뉴가 있어요,6,화장실이 깨끗해요,6,단체모임 하기 좋아요,5,https://m.place.naver.com/restaurant/493546299/review/visitor
골드식당 본점,음식이 맛있어요,108,가성비가 좋아요,52,친절해요,50,매장이 넓어요,30,양이 많아요,23,재료가 신선해요,17,단체모임 하기 좋아요,17,특별한 메뉴가 있어요,15,매장이 청결해요,14,혼밥하기 좋아요,9,https://m.place.naver.com/restaurant/1822391299/review/visitor
진어참치,음식이 맛있어요,144,재료가 신선해요,111,친절해요,94,특별한 메뉴가 있어요,61,양이 많아요,46,특별한 날 가기 좋아요,42,가성비가 좋아요,41,매장이 청결해요,22,혼밥하기 좋아요,10,단체모임 하기 좋아요,10,https://m.place.naver.com/restaurant/1417206539/review/visitor
수을관,음식이 맛있어요,77,특별한 메뉴가 있어요,63,친절해요,59,인테리어가 멋져요,50,특별한 날 가기 좋아요,48,매장이 청결해요,28,재료가 신선해요,22,뷰가 좋아요,8,화장실이 깨끗해요,4,단체모임 하기 좋아요,3,https://m.place.naver.com/restaurant/1895036093/review/visitor
코리아식당,음식이 맛있어요,101,친절해요,54,재료가 신선해요,35,양이 많아요,35,특별한 메뉴가 있어요,26,가성비가 좋아요,23,혼밥하기 좋아요,20,인테리어가 멋져요,8,매장이 청결해요,8,단체모임 하기 좋아요,6,https://m.place.naver.com/restaurant/31036949/review/visitor
연남 흑돼지,음식이 맛있어요,113,친절해요,73,재료가 신선해요,55,매장이 청결해요,37,특별한 메뉴가 있어요,22,양이 많아요,19,가성비가 좋아요,18,직접 잘 구워줘요,12,단체모임 하기 좋아요,12,화장실이 깨끗해요,10,https://m.place.naver.com/restaurant/1013534030/review/visitor
연피랑,음식이 맛있어요,95,재료가 신선해요,65,특별한 메뉴가 있어요,31,인테리어가 멋져요,27,친절해요,27,특별한 날 가기 좋아요,18,화장실이 깨끗해요,17,매장이 청결해요,16,뷰가 좋아요,12,매장이 넓어요,7,https://m.place.naver.com/restaurant/1040236089/review/visitor
종로계림닭도리탕원조 연남점,음식이 맛있어요,96,친절해요,30,양이 많아요,30,재료가 신선해요,29,매장이 청결해요,24,가성비가 좋아요,21,특별한 메뉴가 있어요,14,화장실이 깨끗해요,7,단체모임 하기 좋아요,3,고기 질이 좋아요,2,https://m.place.naver.com/restaurant/1993388905/review/visitor
봉화,음식이 맛있어요,36,친절해요,16,특별한 메뉴가 있어요,11,인테리어가 멋져요,10,재료가 신선해요,7,가성비가 좋아요,6,매장이 청결해요,5,양이 많아요,3,뷰가 좋아요,2,매장이 넓어요,1,https://m.place.naver.com/restaurant/38642345/review/visitor
동진전집,음식이 맛있어요,25,친절해요,18,매장이 청결해요,8,재료가 신선해요,7,가성비가 좋아요,7,대화하기 좋아요,6,기본 안주가 좋아요,5,혼밥하기 좋아요,4,음악이 좋아요,3,술이 다양해요,2,https://m.place.naver.com/restaurant/1262613360/review/visitor
연남궁,음식이 맛있어요,93,재료가 신선해요,76,친절해요,71,특별한 날 가기 좋아요,69,특별한 메뉴가 있어요,56,매장이 청결해요,40,인테리어가 멋져요,30,양이 많아요,27,가성비가 좋아요,24,단체모임 하기 좋아요,12,https://m.place.naver.com/restaurant/1705425061/review/visitor
연남정,음식이 맛있어요,230,가성비가 좋아요,140,친절해요,122,메뉴 구성이 알차요,84,혼밥하기 좋아요,79,재료가 신선해요,76,특별한 메뉴가 있어요,26,매장이 청결해요,19,매장이 넓어요,17,인테리어가 멋져요,5,https://m.place.naver.com/restaurant/1472837357/review/visitor
삶천식당,음식이 맛있어요,17,친절해요,16,가성비가 좋아요,16,혼밥하기 좋아요,9,매장이 청결해요,7,재료가 신선해요,5,양이 많아요,4,음식이 빨리 나와요,3,특별한 메뉴가 있어요,1,,,https://m.place.naver.com/restaurant/1377929798/review/visitor
명인갈비,음식이 맛있어요,570,매장이 넓어요,234,친절해요,177,가성비가 좋아요,148,주차하기 편해요,147,단체모임 하기 좋아요,118,재료가 신선해요,97,매장이 청결해요,77,양이 많아요,62,특별한 메뉴가 있어요,36,https://m.place.naver.com/restaurant/1803480676/review/visitor
우탕,음식이 맛있어요,61,친절해요,43,혼밥하기 좋아요,31,매장이 청결해요,30,특별한 메뉴가 있어요,27,재료가 신선해요,26,인테리어가 멋져요,19,양이 많아요,15,가성비가 좋아요,9,특별한 날 가기 좋아요,3,https://m.place.naver.com/restaurant/1484798126/review/visitor
곰면옥,음식이 맛있어요,83,혼밥하기 좋아요,43,양이 많아요,40,친절해요,37,가성비가 좋아요,30,재료가 신선해요,29,반찬이 잘 나와요,14,매장이 청결해요,10,특별한 메뉴가 있어요,8,인테리어가 멋져요,2,https://m.place.naver.com/restaurant/1066873460/review/visitor
연희동할머니네,음식이 맛있어요,121,가성비가 좋아요,45,혼밥하기 좋아요,43,친절해요,43,양이 많아요,30,주차하기 편해요,15,재료가 신선해요,13,매장이 넓어요,7,매장이 청결해요,6,화장실이 깨끗해요,5,https://m.place.naver.com/restaurant/19886228/review/visitor
홍정기참치,음식이 맛있어요,118,재료가 신선해요,99,친절해요,76,특별한 메뉴가 있어요,68,매장이 청결해요,50,특별한 날 가기 좋아요,47,양이 많아요,33,가성비가 좋아요,25,뷰가 좋아요,13,단체모임 하기 좋아요,12,https://m.place.naver.com/restaurant/1260603319/review/visitor
연남 칼국수,음식이 맛있어요,149,양이 많아요,102,친절해요,88,매장이 청결해요,74,특별한 메뉴가 있어요,67,재료가 신선해요,62,혼밥하기 좋아요,36,인테리어가 멋져요,36,가성비가 좋아요,35,뷰가 좋아요,10,https://m.place.naver.com/restaurant/1108625845/review/visitor
우뜸,음식이 맛있어요,96,친절해요,76,인테리어가 멋져요,48,재료가 신선해요,42,특별한 날 가기 좋아요,42,특별한 메뉴가 있어요,36,매장이 청결해요,34,가성비가 좋아요,16,직접 잘 구워줘요,12,고기 질이 좋아요,11,https://m.place.naver.com/restaurant/1469119459/review/visitor
회뜨는총각,음식이 맛있어요,69,재료가 신선해요,46,가성비가 좋아요,35,친절해요,18,양이 많아요,11,매장이 청결해요,7,단체모임 하기 좋아요,7,특별한 날 가기 좋아요,4,인테리어가 멋져요,3,혼밥하기 좋아요,2,https://m.place.naver.com/restaurant/1386739751/review/visitor
드럼통 숯불구이 연남점,음식이 맛있어요,68,친절해요,45,재료가 신선해요,36,가성비가 좋아요,26,매장이 청결해요,25,양이 많아요,15,특별한 메뉴가 있어요,11,화장실이 깨끗해요,6,혼밥하기 좋아요,5,단체모임 하기 좋아요,4,https://m.place.naver.com/restaurant/1676369812/review/visitor
곱깨비 연남본점,음식이 맛있어요,36,양이 많아요,10,가성비가 좋아요,8,매장이 청결해요,8,친절해요,7,재료가 신선해요,6,인테리어가 멋져요,6,특별한 메뉴가 있어요,5,단체모임 하기 좋아요,5,매장이 넓어요,3,https://m.place.naver.com/restaurant/1018144000/review/visitor
한성축산식당,음식이 맛있어요,60,가성비가 좋아요,35,친절해요,27,양이 많아요,24,재료가 신선해요,23,매장이 넓어요,14,단체모임 하기 좋아요,12,고기 질이 좋아요,4,매장이 청결해요,4,화장실이 깨끗해요,4,https://m.place.naver.com/restaurant/36004752/review/visitor
국숯집,음식이 맛있어요,122,재료가 신선해요,66,매장이 청결해요,61,친절해요,60,특별한 메뉴가 있어요,58,인테리어가 멋져요,43,혼밥하기 좋아요,38,양이 많아요,26,가성비가 좋아요,19,화장실이 깨끗해요,10,https://m.place.naver.com/restaurant/1216216728/review/visitor
연남고을집,음식이 맛있어요,203,양이 많아요,66,가성비가 좋아요,58,혼밥하기 좋아요,55,친절해요,53,재료가 신선해요,43,매장이 청결해요,22,특별한 메뉴가 있어요,15,매장이 넓어요,10,단체모임 하기 좋아요,4,https://m.place.naver.com/restaurant/1413669487/review/visitor
아필립,친절해요,60,특별한 메뉴가 있어요,45,인테리어가 멋져요,41,음식이 맛있어요,36,매장이 청결해요,25,대화하기 좋아요,21,재료가 신선해요,15,가성비가 좋아요,11,사진이 잘 나와요,8,좌석이 편해요,5,https://m.place.naver.com/restaurant/33877615/review/visitor
올레쭈꾸미,음식이 맛있어요,80,친절해요,51,양이 많아요,42,재료가 신선해요,41,가성비가 좋아요,36,매장이 청결해요,28,혼밥하기 좋아요,5,특별한 메뉴가 있어요,5,뷰가 좋아요,5,단체모임 하기 좋아요,4,https://m.place.naver.com/restaurant/1697944670/review/visitor
소제이 연남점,음식이 맛있어요,201,친절해요,181,특별한 메뉴가 있어요,115,매장이 청결해요,103,재료가 신선해요,94,인테리어가 멋져요,61,양이 많아요,41,가성비가 좋아요,29,단체모임 하기 좋아요,29,고기 질이 좋아요,24,https://m.place.naver.com/restaurant/1525469440/review/visitor
계륵장군 숯불닭갈비 연남점,음식이 맛있어요,54,친절해요,17,재료가 신선해요,11,가성비가 좋아요,11,특별한 메뉴가 있어요,11,양이 많아요,9,매장이 청결해요,8,매장이 넓어요,5,단체모임 하기 좋아요,4,고기 질이 좋아요,3,https://m.place.naver.com/restaurant/771973025/review/visitor
엽전식당 연남점,음식이 맛있어요,37,친절해요,26,양이 많아요,21,가성비가 좋아요,21,인테리어가 멋져요,16,재료가 신선해요,15,매장이 청결해요,14,특별한 메뉴가 있어요,13,혼밥하기 좋아요,7,단체모임 하기 좋아요,5,https://m.place.naver.com/restaurant/1335983925/review/visitor
배꼽시계,음식이 맛있어요,56,친절해요,34,가성비가 좋아요,28,재료가 신선해요,15,양이 많아요,13,반찬이 잘 나와요,10,매장이 넓어요,8,매장이 청결해요,8,혼밥하기 좋아요,5,단체모임 하기 좋아요,5,https://m.place.naver.com/restaurant/36219892/review/visitor
미가해물탕찜,음식이 맛있어요,59,친절해요,35,재료가 신선해요,31,가성비가 좋아요,29,특별한 메뉴가 있어요,17,양이 많아요,11,혼밥하기 좋아요,8,매장이 청결해요,5,단체모임 하기 좋아요,5,매장이 넓어요,3,https://m.place.naver.com/restaurant/37544028/review/visitor
제주촌삼겹살,음식이 맛있어요,69,가성비가 좋아요,38,친절해요,30,양이 많아요,19,단체모임 하기 좋아요,14,재료가 신선해요,13,매장이 청결해요,8,매장이 넓어요,7,특별한 메뉴가 있어요,5,뷰가 좋아요,4,https://m.place.naver.com/restaurant/20883368/review/visitor
작은마을밥상,음식이 맛있어요,53,가성비가 좋아요,34,양이 많아요,21,친절해요,20,혼밥하기 좋아요,18,재료가 신선해요,17,특별한 메뉴가 있어요,5,매장이 청결해요,5,특별한 날 가기 좋아요,3,주차하기 편해요,2,https://m.place.naver.com/restaurant/20863893/review/visitor
수유리찌개백반 연남점,음식이 맛있어요,60,가성비가 좋아요,25,양이 많아요,24,친절해요,21,혼밥하기 좋아요,6,재료가 신선해요,6,특별한 메뉴가 있어요,6,매장이 청결해요,6,주차하기 편해요,2,매장이 넓어요,2,https://m.place.naver.com/restaurant/1624055115/review/visitor
미쁘동,음식이 맛있어요,1040,친절해요,606,특별한 메뉴가 있어요,595,재료가 신선해요,462,매장이 청결해요,248,인테리어가 멋져요,163,혼밥하기 좋아요,119,특별한 날 가기 좋아요,115,양이 많아요,95,뷰가 좋아요,71,https://m.place.naver.com/restaurant/1685805793/review/visitor
정소바,음식이 맛있어요,274,재료가 신선해요,167,친절해요,136,특별한 메뉴가 있어요,123,인테리어가 멋져요,109,매장이 청결해요,101,혼밥하기 좋아요,98,양이 많아요,65,가성비가 좋아요,40,특별한 날 가기 좋아요,14,https://m.place.naver.com/restaurant/1964274729/review/visitor
연하동,음식이 맛있어요,1150,특별한 메뉴가 있어요,555,친절해요,417,양이 많아요,305,재료가 신선해요,256,혼밥하기 좋아요,180,매장이 청결해요,137,특별한 날 가기 좋아요,111,인테리어가 멋져요,85,가성비가 좋아요,82,https://m.place.naver.com/restaurant/1668003266/review/visitor
올랑올랑,음식이 맛있어요,380,특별한 메뉴가 있어요,148,친절해요,135,재료가 신선해요,112,혼밥하기 좋아요,79,매장이 청결해요,68,양이 많아요,59,가성비가 좋아요,48,인테리어가 멋져요,44,특별한 날 가기 좋아요,37,https://m.place.naver.com/restaurant/1179975511/review/visitor
로야토야,음식이 맛있어요,120,재료가 신선해요,83,친절해요,77,매장이 청결해요,67,특별한 날 가기 좋아요,54,특별한 메뉴가 있어요,47,인테리어가 멋져요,40,가성비가 좋아요,21,매장이 넓어요,20,양이 많아요,15,https://m.place.naver.com/restaurant/13519428/review/visitor
쿄다이텐동,음식이 맛있어요,124,혼밥하기 좋아요,62,양이 많아요,60,친절해요,58,재료가 신선해요,48,매장이 청결해요,46,가성비가 좋아요,28,특별한 메뉴가 있어요,20,인테리어가 멋져요,14,화장실이 깨끗해요,7,https://m.place.naver.com/restaurant/1992606492/review/visitor
거북이의 꿈,음식이 맛있어요,197,특별한 메뉴가 있어요,124,친절해요,111,혼밥하기 좋아요,85,재료가 신선해요,81,매장이 청결해요,42,인테리어가 멋져요,35,양이 많아요,24,특별한 날 가기 좋아요,22,가성비가 좋아요,16,https://m.place.naver.com/restaurant/1467566565/review/visitor
요코쵸,음식이 맛있어요,304,특별한 메뉴가 있어요,124,술이 다양해요,99,인테리어가 멋져요,98,친절해요,78,기본 안주가 좋아요,78,대화하기 좋아요,53,가성비가 좋아요,42,혼술하기 좋아요,36,음악이 좋아요,22,https://m.place.naver.com/restaurant/38570861/review/visitor
미츠루,음식이 맛있어요,97,친절해요,63,혼밥하기 좋아요,57,특별한 메뉴가 있어요,56,재료가 신선해요,43,매장이 청결해요,30,가성비가 좋아요,22,양이 많아요,13,인테리어가 멋져요,8,특별한 날 가기 좋아요,5,https://m.place.naver.com/restaurant/1862225287/review/visitor
히메지,음식이 맛있어요,134,혼밥하기 좋아요,74,친절해요,63,가성비가 좋아요,49,재료가 신선해요,30,인테리어가 멋져요,28,매장이 청결해요,28,특별한 메뉴가 있어요,25,양이 많아요,17,특별한 날 가기 좋아요,2,https://m.place.naver.com/restaurant/344591978/review/visitor
우와 연남점,음식이 맛있어요,401,친절해요,213,특별한 메뉴가 있어요,196,재료가 신선해요,121,매장이 청결해요,97,인테리어가 멋져요,85,특별한 날 가기 좋아요,64,양이 많아요,59,혼밥하기 좋아요,26,가성비가 좋아요,26,https://m.place.naver.com/restaurant/1225027833/review/visitor
초이다이닝,음식이 맛있어요,1380,특별한 메뉴가 있어요,818,친절해요,771,재료가 신선해요,421,인테리어가 멋져요,396,매장이 청결해요,279,특별한 날 가기 좋아요,214,양이 많아요,211,혼밥하기 좋아요,185,가성비가 좋아요,153,https://m.place.naver.com/restaurant/1485118707/review/visitor
올더플레이트,음식이 맛있어요,368,친절해요,205,인테리어가 멋져요,170,특별한 메뉴가 있어요,142,매장이 청결해요,141,재료가 신선해요,101,특별한 날 가기 좋아요,101,가성비가 좋아요,92,양이 많아요,82,화장실이 깨끗해요,39,https://m.place.naver.com/restaurant/38667250/review/visitor
규자카야 모토,음식이 맛있어요,103,기본 안주가 좋아요,48,특별한 메뉴가 있어요,44,친절해요,37,대화하기 좋아요,28,가성비가 좋아요,18,매장이 청결해요,16,술이 다양해요,14,단체모임 하기 좋아요,14,오래 머무르기 좋아요,12,https://m.place.naver.com/restaurant/36459005/review/visitor
쿠루미 사케&와인,음식이 맛있어요,14,친절해요,13,인테리어가 멋져요,12,매장이 청결해요,12,대화하기 좋아요,12,음악이 좋아요,10,특별한 메뉴가 있어요,9,오래 머무르기 좋아요,9,기본 안주가 좋아요,8,술이 다양해요,6,https://m.place.naver.com/restaurant/1009553872/review/visitor
연남동멘,음식이 맛있어요,24,매장이 청결해요,20,인테리어가 멋져요,18,친절해요,18,양이 많아요,18,재료가 신선해요,13,특별한 메뉴가 있어요,12,화장실이 깨끗해요,8,혼밥하기 좋아요,6,매장이 넓어요,6,https://m.place.naver.com/restaurant/1159604977/review/visitor
콘부 연남,음식이 맛있어요,35,친절해요,22,특별한 메뉴가 있어요,21,인테리어가 멋져요,18,혼밥하기 좋아요,14,매장이 청결해요,10,양이 많아요,5,가성비가 좋아요,5,재료가 신선해요,4,매장이 넓어요,3,https://m.place.naver.com/restaurant/1719059855/review/visitor
쿠시모토,음식이 맛있어요,72,가성비가 좋아요,52,재료가 신선해요,48,친절해요,33,인테리어가 멋져요,27,특별한 메뉴가 있어요,25,특별한 날 가기 좋아요,23,양이 많아요,21,매장이 청결해요,18,혼밥하기 좋아요,4,https://m.place.naver.com/restaurant/1750453967/review/visitor
소점,음식이 맛있어요,496,친절해요,346,특별한 메뉴가 있어요,241,양이 많아요,190,재료가 신선해요,129,가성비가 좋아요,115,인테리어가 멋져요,74,혼밥하기 좋아요,61,특별한 날 가기 좋아요,34,매장이 청결해요,31,https://m.place.naver.com/restaurant/1698144185/review/visitor
저스트텐동 연남본점,음식이 맛있어요,1370,친절해요,650,재료가 신선해요,551,양이 많아요,503,혼밥하기 좋아요,501,특별한 메뉴가 있어요,454,매장이 청결해요,357,가성비가 좋아요,214,인테리어가 멋져요,201,특별한 날 가기 좋아요,88,https://m.place.naver.com/restaurant/1651918728/review/visitor
로이소바,음식이 맛있어요,185,친절해요,154,매장이 청결해요,129,혼밥하기 좋아요,111,특별한 메뉴가 있어요,97,양이 많아요,92,가성비가 좋아요,76,재료가 신선해요,62,인테리어가 멋져요,53,뷰가 좋아요,42,https://m.place.naver.com/restaurant/1499119401/review/visitor
연어롭다,음식이 맛있어요,598,재료가 신선해요,266,특별한 메뉴가 있어요,199,친절해요,152,양이 많아요,113,특별한 날 가기 좋아요,71,매장이 청결해요,64,가성비가 좋아요,56,인테리어가 멋져요,42,혼밥하기 좋아요,22,https://m.place.naver.com/restaurant/1537918661/review/visitor
사루카메,음식이 맛있어요,395,특별한 메뉴가 있어요,231,혼밥하기 좋아요,210,친절해요,179,재료가 신선해요,101,매장이 청결해요,72,현지 맛에 가까워요,58,인테리어가 멋져요,43,아늑해요,38,가성비가 좋아요,38,https://m.place.naver.com/restaurant/1763607050/review/visitor
백식당,음식이 맛있어요,1292,재료가 신선해요,857,친절해요,740,매장이 청결해요,683,인테리어가 멋져요,535,특별한 메뉴가 있어요,480,특별한 날 가기 좋아요,252,혼밥하기 좋아요,249,술이 다양해요,209,가성비가 좋아요,164,https://m.place.naver.com/restaurant/1242070068/review/visitor
하쿠텐라멘,음식이 맛있어요,264,친절해요,177,혼밥하기 좋아요,156,특별한 메뉴가 있어요,127,양이 많아요,74,가성비가 좋아요,68,재료가 신선해요,57,매장이 청결해요,34,인테리어가 멋져요,9,특별한 날 가기 좋아요,4,https://m.place.naver.com/restaurant/1031219213/review/visitor
카쿠시타,음식이 맛있어요,404,특별한 메뉴가 있어요,183,친절해요,131,재료가 신선해요,97,양이 많아요,89,인테리어가 멋져요,51,가성비가 좋아요,49,특별한 날 가기 좋아요,29,매장이 청결해요,29,혼밥하기 좋아요,28,https://m.place.naver.com/restaurant/1331305271/review/visitor
규카츠정 연남,음식이 맛있어요,432,고기 질이 좋아요,368,친절해요,350,매장이 청결해요,229,음식이 빨리 나와요,226,혼밥하기 좋아요,185,재료가 신선해요,168,아늑해요,125,특별한 메뉴가 있어요,115,대화하기 좋아요,89,https://m.place.naver.com/restaurant/1816808470/review/visitor
스시지현,음식이 맛있어요,506,재료가 신선해요,269,친절해요,264,가성비가 좋아요,133,매장이 청결해요,126,혼밥하기 좋아요,115,특별한 메뉴가 있어요,94,양이 많아요,48,특별한 날 가기 좋아요,38,인테리어가 멋져요,32,https://m.place.naver.com/restaurant/1080811064/review/visitor
단디 연남점,음식이 맛있어요,665,친절해요,284,특별한 메뉴가 있어요,209,매장이 청결해요,205,재료가 신선해요,123,혼밥하기 좋아요,109,매장이 넓어요,101,인테리어가 멋져요,92,양이 많아요,67,가성비가 좋아요,57,https://m.place.naver.com/restaurant/1208774602/review/visitor
야키토리 묵,음식이 맛있어요,570,친절해요,354,특별한 메뉴가 있어요,329,특별한 날 가기 좋아요,317,재료가 신선해요,295,인테리어가 멋져요,165,가성비가 좋아요,161,매장이 청결해요,124,양이 많아요,54,혼밥하기 좋아요,46,https://m.place.naver.com/restaurant/195609594/review/visitor
온정,음식이 맛있어요,3615,친절해요,2214,혼밥하기 좋아요,2018,재료가 신선해요,1994,매장이 청결해요,1577,양이 많아요,1395,특별한 메뉴가 있어요,895,가성비가 좋아요,798,인테리어가 멋져요,727,특별한 날 가기 좋아요,231,https://m.place.naver.com/restaurant/1773796128/review/visitor
백화연남,음식이 맛있어요,321,친절해요,120,혼밥하기 좋아요,104,매장이 청결해요,100,특별한 메뉴가 있어요,94,재료가 신선해요,76,인테리어가 멋져요,48,양이 많아요,46,가성비가 좋아요,42,특별한 날 가기 좋아요,11,https://m.place.naver.com/restaurant/1924293105/review/visitor
동차밥,음식이 맛있어요,372,재료가 신선해요,241,친절해요,215,매장이 청결해요,175,양이 많아요,141,특별한 메뉴가 있어요,88,가성비가 좋아요,43,혼밥하기 좋아요,42,화장실이 깨끗해요,28,매장이 넓어요,26,https://m.place.naver.com/restaurant/35726772/review/visitor
쿄 라멘,음식이 맛있어요,411,혼밥하기 좋아요,214,친절해요,206,특별한 메뉴가 있어요,175,가성비가 좋아요,172,양이 많아요,160,재료가 신선해요,95,매장이 청결해요,71,인테리어가 멋져요,10,화장실이 깨끗해요,6,https://m.place.naver.com/restaurant/1636571197/review/visitor
경양카츠 연남점,음식이 맛있어요,560,친절해요,267,매장이 청결해요,199,특별한 메뉴가 있어요,177,인테리어가 멋져요,176,재료가 신선해요,169,양이 많아요,102,혼밥하기 좋아요,97,가성비가 좋아요,61,특별한 날 가기 좋아요,45,https://m.place.naver.com/restaurant/1128364627/review/visitor
쿠시파파,음식이 맛있어요,78,친절해요,40,특별한 메뉴가 있어요,40,대화하기 좋아요,20,술이 다양해요,13,기본 안주가 좋아요,13,인테리어가 멋져요,10,음악이 좋아요,8,가성비가 좋아요,8,매장이 청결해요,8,https://m.place.naver.com/restaurant/1124366262/review/visitor
야키토리 미식서울,음식이 맛있어요,312,친절해요,166,특별한 메뉴가 있어요,161,특별한 날 가기 좋아요,125,재료가 신선해요,124,가성비가 좋아요,92,인테리어가 멋져요,86,매장이 청결해요,67,혼밥하기 좋아요,28,양이 많아요,19,https://m.place.naver.com/restaurant/1761113868/review/visitor
아카사니,음식이 맛있어요,86,특별한 메뉴가 있어요,50,술이 다양해요,46,친절해요,38,대화하기 좋아요,30,매장이 청결해요,23,가성비가 좋아요,21,기본 안주가 좋아요,17,인테리어가 멋져요,16,음악이 좋아요,16,https://m.place.naver.com/restaurant/1630030343/review/visitor
스탠딩박스,음식이 맛있어요,124,친절해요,102,술이 다양해요,94,인테리어가 멋져요,63,특별한 메뉴가 있어요,46,혼술하기 좋아요,42,매장이 청결해요,41,음악이 좋아요,39,기본 안주가 좋아요,29,가성비가 좋아요,26,https://m.place.naver.com/restaurant/1047443712/review/visitor
유부,음식이 맛있어요,275,혼밥하기 좋아요,140,친절해요,127,재료가 신선해요,97,특별한 메뉴가 있어요,88,가성비가 좋아요,84,매장이 청결해요,59,양이 많아요,32,인테리어가 멋져요,22,특별한 날 가기 좋아요,6,https://m.place.naver.com/restaurant/1249593173/review/visitor
심원,음식이 맛있어요,276,친절해요,154,재료가 신선해요,127,특별한 메뉴가 있어요,118,매장이 청결해요,107,혼밥하기 좋아요,104,특별한 날 가기 좋아요,67,인테리어가 멋져요,61,양이 많아요,32,가성비가 좋아요,17,https://m.place.naver.com/restaurant/1329385225/review/visitor
모이정,음식이 맛있어요,121,친절해요,73,기본 안주가 좋아요,43,특별한 메뉴가 있어요,39,술이 다양해요,37,대화하기 좋아요,32,음악이 좋아요,23,인테리어가 멋져요,22,혼술하기 좋아요,20,오래 머무르기 좋아요,13,https://m.place.naver.com/restaurant/1040324044/review/visitor
566라멘,양이 많아요,20,음식이 맛있어요,18,혼밥하기 좋아요,12,특별한 메뉴가 있어요,12,친절해요,6,가성비가 좋아요,5,재료가 신선해요,4,인테리어가 멋져요,2,현지 맛에 가까워요,2,특별한 날 가기 좋아요,2,https://m.place.naver.com/restaurant/1463639648/review/visitor
쿠보,친절해요,56,음식이 맛있어요,55,매장이 청결해요,32,인테리어가 멋져요,28,가성비가 좋아요,22,특별한 메뉴가 있어요,20,대화하기 좋아요,20,오래 머무르기 좋아요,18,술이 다양해요,17,음악이 좋아요,15,https://m.place.naver.com/restaurant/1636076061/review/visitor
오복수산 연남점,음식이 맛있어요,140,재료가 신선해요,71,혼밥하기 좋아요,52,친절해요,41,매장이 청결해요,34,특별한 메뉴가 있어요,27,인테리어가 멋져요,9,양이 많아요,9,가성비가 좋아요,7,화장실이 깨끗해요,4,https://m.place.naver.com/restaurant/1803099305/review/visitor
흑심돈카츠,음식이 맛있어요,205,양이 많아요,81,친절해요,75,재료가 신선해요,67,특별한 메뉴가 있어요,61,매장이 청결해요,58,혼밥하기 좋아요,42,인테리어가 멋져요,23,가성비가 좋아요,23,매장이 넓어요,17,https://m.place.naver.com/restaurant/1255182216/review/visitor
곤로 야끼니꾸,음식이 맛있어요,303,친절해요,152,재료가 신선해요,136,특별한 메뉴가 있어요,132,인테리어가 멋져요,131,특별한 날 가기 좋아요,126,매장이 청결해요,73,화장실이 깨끗해요,45,가성비가 좋아요,36,매장이 넓어요,17,https://m.place.naver.com/restaurant/1872238260/review/visitor
키친숲,음식이 맛있어요,234,친절해요,115,인테리어가 멋져요,100,혼밥하기 좋아요,74,특별한 메뉴가 있어요,66,매장이 청결해요,66,재료가 신선해요,42,양이 많아요,37,가성비가 좋아요,22,특별한 날 가기 좋아요,13,https://m.place.naver.com/restaurant/1774269591/review/visitor
모바면가 연남점,음식이 맛있어요,32,혼밥하기 좋아요,21,친절해요,19,매장이 청결해요,14,가성비가 좋아요,11,재료가 신선해요,9,인테리어가 멋져요,8,특별한 메뉴가 있어요,8,양이 많아요,5,화장실이 깨끗해요,5,https://m.place.naver.com/restaurant/1250470567/review/visitor
하나라멘,음식이 맛있어요,513,친절해요,291,혼밥하기 좋아요,262,양이 많아요,221,매장이 청결해요,160,가성비가 좋아요,155,재료가 신선해요,125,특별한 메뉴가 있어요,121,인테리어가 멋져요,31,매장이 넓어요,8,https://m.place.naver.com/restaurant/1267633713/review/visitor
스시노백쉐프 홍대연남,음식이 맛있어요,257,친절해요,151,재료가 신선해요,140,특별한 메뉴가 있어요,90,매장이 청결해요,88,가성비가 좋아요,86,양이 많아요,51,특별한 날 가기 좋아요,50,화장실이 깨끗해요,50,인테리어가 멋져요,46,https://m.place.naver.com/restaurant/519680842/review/visitor
무겐스위치,음식이 맛있어요,292,혼밥하기 좋아요,185,친절해요,176,특별한 메뉴가 있어요,144,매장이 청결해요,94,양이 많아요,78,재료가 신선해요,77,가성비가 좋아요,63,인테리어가 멋져요,28,매장이 넓어요,20,https://m.place.naver.com/restaurant/1490548135/review/visitor
노라,음식이 맛있어요,111,친절해요,38,가성비가 좋아요,33,기본 안주가 좋아요,32,대화하기 좋아요,25,혼술하기 좋아요,16,음악이 좋아요,15,특별한 메뉴가 있어요,15,술이 다양해요,13,인테리어가 멋져요,13,https://m.place.naver.com/restaurant/1978912101/review/visitor
우애돈카츠 연남점,음식이 맛있어요,207,친절해요,153,매장이 청결해요,118,재료가 신선해요,108,혼밥하기 좋아요,96,양이 많아요,96,특별한 메뉴가 있어요,47,가성비가 좋아요,38,인테리어가 멋져요,37,화장실이 깨끗해요,7,https://m.place.naver.com/restaurant/1636096003/review/visitor
