가게 이름,1,인원 수,2,인원 수,3,인원 수,4,인원 수,5,인원 수,6,인원 수,7,인원 수,8,인원 수,9,인원 수,10,인원 수,
평안도 상원냉면,음식이 맛있어요,162,친절해요,70,혼밥하기 좋아요,66,가성비가 좋아요,63,특별한 메뉴가 있어요,55,재료가 신선해요,40,양이 많아요,36,매장이 넓어요,4,주차하기 편해요,3,매장이 청결해요,3,https://m.place.naver.com/restaurant/1775477282/review/visitor
쟁반집8292 홍대점,음식이 맛있어요,565,친절해요,398,가성비가 좋아요,354,매장이 청결해요,222,재료가 신선해요,178,양이 많아요,176,단체모임 하기 좋아요,117,특별한 메뉴가 있어요,115,매장이 넓어요,113,고기 질이 좋아요,91,https://m.place.naver.com/restaurant/1246697901/review/visitor
홍스쭈꾸미 홍대본점,음식이 맛있어요,459,친절해요,171,가성비가 좋아요,150,양이 많아요,118,특별한 메뉴가 있어요,93,재료가 신선해요,83,매장이 넓어요,67,단체모임 하기 좋아요,53,매장이 청결해요,34,혼밥하기 좋아요,16,https://m.place.naver.com/restaurant/12785328/review/visitor
연남족발1987,음식이 맛있어요,215,친절해요,92,양이 많아요,82,특별한 메뉴가 있어요,78,가성비가 좋아요,47,재료가 신선해요,46,단체모임 하기 좋아요,44,인테리어가 멋져요,37,매장이 청결해요,33,매장이 넓어요,25,https://m.place.naver.com/restaurant/1068624619/review/visitor
무쇠김치삼겹 홍대점,음식이 맛있어요,279,친절해요,86,매장이 넓어요,77,가성비가 좋아요,64,특별한 메뉴가 있어요,60,양이 많아요,47,단체모임 하기 좋아요,44,재료가 신선해요,31,직접 잘 구워줘요,19,매장이 청결해요,18,https://m.place.naver.com/restaurant/1609583532/review/visitor
오이지 연남,음식이 맛있어요,411,특별한 메뉴가 있어요,225,친절해요,174,매장이 청결해요,109,재료가 신선해요,90,가성비가 좋아요,73,양이 많아요,64,인테리어가 멋져요,54,특별한 날 가기 좋아요,39,혼밥하기 좋아요,37,https://m.place.naver.com/restaurant/1728895666/review/visitor
들풀한상,음식이 맛있어요,296,친절해요,119,재료가 신선해요,102,매장이 청결해요,88,단체모임 하기 좋아요,73,특별한 메뉴가 있어요,69,특별한 날 가기 좋아요,47,인테리어가 멋져요,46,양이 많아요,40,매장이 넓어요,38,https://m.place.naver.com/restaurant/37162689/review/visitor
청년닭발1987,음식이 맛있어요,221,친절해요,116,특별한 메뉴가 있어요,83,인테리어가 멋져요,50,가성비가 좋아요,38,양이 많아요,37,매장이 넓어요,36,단체모임 하기 좋아요,36,재료가 신선해요,23,매장이 청결해요,21,https://m.place.naver.com/restaurant/37282346/review/visitor
둥지닭볶음탕,음식이 맛있어요,216,특별한 메뉴가 있어요,97,친절해요,92,양이 많아요,90,가성비가 좋아요,69,매장이 청결해요,40,재료가 신선해요,38,인테리어가 멋져요,19,단체모임 하기 좋아요,19,매장이 넓어요,12,https://m.place.naver.com/restaurant/1440816737/review/visitor
천이오겹살 합정본점,음식이 맛있어요,147,가성비가 좋아요,82,친절해요,59,특별한 메뉴가 있어요,33,양이 많아요,29,재료가 신선해요,26,단체모임 하기 좋아요,13,매장이 청결해요,7,고기 질이 좋아요,4,혼밥하기 좋아요,3,https://m.place.naver.com/restaurant/13110509/review/visitor
장인닭갈비 홍대점,음식이 맛있어요,151,친절해요,86,양이 많아요,79,가성비가 좋아요,52,매장이 청결해요,40,재료가 신선해요,39,매장이 넓어요,38,특별한 메뉴가 있어요,26,단체모임 하기 좋아요,23,직접 잘 구워줘요,15,https://m.place.naver.com/restaurant/1811482510/review/visitor
홍대오잉크,음식이 맛있어요,512,친절해요,405,가성비가 좋아요,321,매장이 넓어요,257,매장이 청결해요,257,양이 많아요,229,재료가 신선해요,205,특별한 메뉴가 있어요,186,단체모임 하기 좋아요,153,인테리어가 멋져요,103,https://m.place.naver.com/restaurant/1033184673/review/visitor
팔각도 합정역점,음식이 맛있어요,247,친절해요,85,특별한 메뉴가 있어요,69,재료가 신선해요,44,매장이 청결해요,43,가성비가 좋아요,39,인테리어가 멋져요,19,단체모임 하기 좋아요,17,양이 많아요,16,매장이 넓어요,13,https://m.place.naver.com/restaurant/1358985425/review/visitor
황곱,음식이 맛있어요,1064,친절해요,676,재료가 신선해요,392,매장이 청결해요,263,양이 많아요,217,특별한 메뉴가 있어요,196,가성비가 좋아요,141,직접 잘 구워줘요,124,단체모임 하기 좋아요,116,인테리어가 멋져요,106,https://m.place.naver.com/restaurant/1430853087/review/visitor
송계옥 홍대점,음식이 맛있어요,128,친절해요,86,매장이 넓어요,65,매장이 청결해요,63,특별한 메뉴가 있어요,62,직접 잘 구워줘요,59,인테리어가 멋져요,50,고기 질이 좋아요,38,특별한 날 가기 좋아요,32,단체모임 하기 좋아요,25,https://m.place.naver.com/restaurant/1081653783/review/visitor
우마담,음식이 맛있어요,149,특별한 날 가기 좋아요,104,친절해요,102,특별한 메뉴가 있어요,68,인테리어가 멋져요,55,재료가 신선해요,54,매장이 청결해요,46,양이 많아요,21,화장실이 깨끗해요,12,가성비가 좋아요,9,https://m.place.naver.com/restaurant/1658726759/review/visitor
그남자의볶음밥,음식이 맛있어요,193,양이 많아요,103,가성비가 좋아요,103,혼밥하기 좋아요,71,친절해요,61,재료가 신선해요,37,매장이 청결해요,15,특별한 메뉴가 있어요,13,인테리어가 멋져요,7,매장이 넓어요,7,https://m.place.naver.com/restaurant/35575538/review/visitor
