가게 이름,1,2,3,4,5
어썸,"""음악이 좋아요""","""음식이 맛있어요""","""술이 다양해요""","""친절해요""","""가성비가 좋아요"""
우주 후카바 홍대점,"""음악이 좋아요""","""인테리어가 멋져요""","""친절해요""","""술이 다양해요""","""오래 머무르기 좋아요"""
자유인들,"""인테리어가 멋져요""","""친절해요""","""음식이 맛있어요""","""매장이 청결해요""","""대화하기 좋아요"""
별헤는잔,"""친절해요""","""술이 다양해요""","""음식이 맛있어요""","""오래 머무르기 좋아요""","""대화하기 좋아요"""
매드홀릭,"""음악이 좋아요""","""술이 다양해요""","""가성비가 좋아요""","""친절해요""","""혼술하기 좋아요"""
하이볼 페브,"""인테리어가 멋져요""","""친절해요""","""혼술하기 좋아요""","""음악이 좋아요""","""술이 다양해요"""
마리연남,"""음식이 맛있어요""","""술이 다양해요""","""친절해요""","""매장이 청결해요""","""대화하기 좋아요"""
BARMENT,"""인테리어가 멋져요""","""친절해요""","""술이 다양해요""","""혼술하기 좋아요""","""음악이 좋아요"""
팩토리,"""친절해요""","""술이 다양해요""","""대화하기 좋아요""","""혼술하기 좋아요""","""인테리어가 멋져요"""
언더그라운드,"""인테리어가 멋져요""","""음악이 좋아요""","""음식이 맛있어요""","""친절해요""","""가성비가 좋아요"""
마카로니펑키클럽,"""음악이 좋아요""","""친절해요""","""술이 다양해요""","""오래 머무르기 좋아요""","""인테리어가 멋져요"""
옐로우펍 홍대점,"""친절해요""","""인테리어가 멋져요""","""술이 다양해요""","""음식이 맛있어요""","""화장실이 깨끗해요"""
홍대 캠프,"""음악이 좋아요""","""술이 다양해요""","""인테리어가 멋져요""","""친절해요""","""음식이 맛있어요"""
공중캠프
아이콘,"""술이 다양해요""","""음식이 맛있어요""","""친절해요""","""음악이 좋아요""","""가성비가 좋아요"""
재즈바 캐롤킹,"""음악이 좋아요""","""술이 다양해요""","""친절해요""","""대화하기 좋아요""","""인테리어가 멋져요"""
도회,"""인테리어가 멋져요""","""친절해요""","""대화하기 좋아요""","""커피가 맛있어요""","""사진이 잘 나와요"""
DOPE,"""술이 다양해요""","""음악이 좋아요""","""인테리어가 멋져요""","""친절해요""","""음식이 맛있어요"""
별빛퐁당,"""술이 다양해요""","""대화하기 좋아요""","""친절해요""","""인테리어가 멋져요""","""음식이 맛있어요"""
bar loafer
Bar다,"""술이 다양해요""","""음악이 좋아요""","""친절해요""","""대화하기 좋아요""","""혼술하기 좋아요"""
핑크엘리펀트,"""인테리어가 멋져요""","""음식이 맛있어요""","""음악이 좋아요""","""술이 다양해요""","""친절해요"""
가우초,"""음악이 좋아요""","""친절해요""","""혼술하기 좋아요""","""매장이 청결해요""","""대화하기 좋아요"""
오와,"""음식이 맛있어요""","""술이 다양해요""","""친절해요""","""대화하기 좋아요""","""인테리어가 멋져요"""
블루먼데이,"""음악이 좋아요""","""친절해요""","""술이 다양해요""","""오래 머무르기 좋아요""","""혼술하기 좋아요"""
247후카바,"""술이 다양해요""","""음악이 좋아요""","""인테리어가 멋져요""","""친절해요""","""매장이 청결해요"""
